4459 - Água Rasa,4460 - Alto de Pinheiros,4461 - Anhanguera,4462 - Aricanduva,4463 - Artur Alvim,4464 - Barra Funda,4465 - Bela Vista,4466 - Belém,4467 - Bom Retiro,4468 - Brás,4469 - Brasilândia,4470 - Butantã,4471 - Cachoeirinha,4472 - Cambuci,4473 - Campo Belo,4474 - Campo Grande,4475 - Campo Limpo,4476 - Cangaíba,4477 - Capão Redondo,4478 - Carrão,4479 - Casa Verde,4480 - Cidade Ademar,4481 - Cidade Dutra,4482 - Cidade Líder,4483 - Cidade Tiradentes,4484 - Consolação,4485 - Cursino,4486 - Ermelino Matarazzo,4487 - Freguesia do Ó,4488 - Grajaú,4489 - Guaianases,4490 - Moema,4491 - Iguatemi,4492 - Ipiranga,4493 - Itaim Bibi,4494 - Itaim Paulista,4495 - Itaquera,4496 - Jabaquara,4497 - Jaçanã,4498 - Jaguara,4499 - Jaguaré,4500 - Jaraguá,4501 - Jardim Ângela,4502 - Jardim Helena,4503 - Jardim Paulista,4504 - Jardim São Luís,4505 - José Bonifácio,4506 - Lapa,4507 - Liberdade,4508 - Limão,4509 - Mandaqui,4510 - Marsilac,4511 - Mooca,4512 - Morumbi,4513 - Parelheiros,4514 - Pari,4515 - Parque do Carmo,4516 - Pedreira,4517 - Penha,4518 - Perdizes,4519 - Perus,4520 - Pinheiros,4521 - Pirituba,4522 - Ponte Rasa,4523 - Raposo Tavares,4524 - República,4525 - Rio Pequeno,4526 - Sacomã,4527 - Santa Cecília,4528 - Santana,4529 - Santo Amaro,4530 - São Lucas,4531 - São Mateus,4532 - São Miguel,4533 - São Rafael,4534 - Sapopemba,4535 - Saúde,4536 - Sé,4537 - Socorro,4538 - Tatuapé,4539 - Tremembé,4540 - Tucuruvi,4541 - Vila Andrade,4542 - Vila Curuçá,4543 - Vila Formosa,4544 - Vila Guilherme,4545 - Vila Jacuí,4546 - Vila Leopoldina,4547 - Vila Maria,4548 - Vila Mariana,4549 - Vila Matilde,4550 - Vila Medeiros,4551 - Vila Prudente,4552 - Vila Sônia,4553 - São Domingos,4554 - Lajeado
66946.127,0.000,0.000,1035.820,1141.409,776.047,113.147,2195.267,269.066,727.951,0.000,387.938,0.000,2268.243,0.000,0.000,0.000,103.058,107.574,2205.148,497.439,0.000,0.000,858.005,0.000,1375.955,316.435,0.000,122.572,0.000,0.000,928.426,2383.472,1708.188,1294.988,0.000,1675.895,105.919,0.000,0.000,0.000,0.000,0.000,108.868,999.705,0.000,370.844,307.611,1286.763,247.315,0.000,0.000,12426.543,0.000,0.000,44.320,202.266,0.000,534.926,101.375,0.000,643.805,0.000,0.000,107.118,741.091,0.000,870.776,0.000,378.092,0.000,5311.164,563.474,705.255,0.000,5249.415,1000.878,1784.284,0.000,8192.478,94.824,0.000,110.906,443.762,11212.128,921.791,368.459,49.971,1734.958,710.190,1267.440,0.000,7309.520,0.000,0.000,992.476
0.000,29939.044,110.987,0.000,0.000,2259.358,1567.232,75.531,439.588,0.000,1746.139,3361.075,0.000,40.424,476.964,289.968,895.386,101.734,872.776,34.868,227.180,0.000,365.343,0.000,0.000,2019.982,0.000,0.000,850.917,1768.174,0.000,1595.493,0.000,448.284,2254.995,1076.106,0.000,294.762,0.000,730.451,752.414,1168.679,1456.236,108.868,2856.580,779.215,0.000,10165.257,666.851,152.385,0.000,0.000,291.021,932.813,0.000,0.000,0.000,307.771,49.560,6158.440,0.000,14231.162,124.467,0.000,0.000,299.061,1033.420,0.000,533.206,920.584,1562.004,775.867,0.000,0.000,0.000,841.219,488.650,851.674,0.000,66.943,0.000,139.395,711.377,0.000,1020.854,0.000,101.103,6009.695,0.000,1401.987,124.099,0.000,23.756,1760.846,619.707,0.000
0.000,110.987,39600.089,0.000,0.000,2872.963,129.340,0.000,0.000,0.000,0.000,1198.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.360,0.000,0.000,528.408,0.000,0.000,0.000,0.000,0.000,1085.032,0.000,0.000,309.401,0.000,174.842,17.588,1906.276,0.000,0.000,2768.009,0.000,0.000,3645.597,309.401,91.267,140.716,0.000,0.000,13.959,0.000,281.431,0.000,0.000,0.000,898.745,2014.009,2262.720,2060.547,0.000,0.000,0.000,0.000,0.000,140.716,14.937,166.162,0.000,0.000,0.000,0.000,0.000,129.340,0.000,0.000,0.000,0.000,0.000,77.187,0.000,0.000,0.000,0.000,2933.510,129.340,1560.817,0.000,0.000,0.000,1309.066,1199.819,0.000
1283.543,0.000,0.000,55683.960,0.000,0.000,0.000,1389.171,48.900,1121.129,0.000,142.522,436.711,0.000,0.000,0.000,0.000,0.000,0.000,9317.878,0.000,0.000,0.000,8271.309,1247.531,403.091,0.000,0.000,0.000,656.138,0.000,0.000,1110.445,501.830,1371.590,0.000,883.340,653.397,291.597,0.000,0.000,0.000,0.000,161.617,142.522,0.000,171.539,0.000,1394.148,0.000,0.000,0.000,1962.064,0.000,0.000,0.000,3469.788,0.000,1113.704,396.019,0.000,102.000,0.000,0.000,0.000,632.110,0.000,0.000,653.397,0.000,0.000,3540.611,3475.949,1454.408,1594.817,10898.191,0.000,0.000,709.567,4504.869,0.000,601.365,0.000,0.000,10479.092,827.214,160.129,465.876,236.006,538.541,871.951,0.000,1213.806,0.000,0.000,0.000
1141.409,0.000,0.000,0.000,91394.669,3355.987,2033.862,2539.138,1184.724,1002.056,0.000,0.000,0.000,170.313,0.000,283.567,0.000,1737.747,0.000,2005.196,0.000,0.000,639.022,8104.648,0.000,746.788,0.000,238.626,0.000,0.000,384.305,1238.140,995.282,103.824,905.450,235.342,12372.181,310.436,0.000,0.000,639.022,308.485,0.000,241.101,1831.724,609.881,1434.122,743.694,45.218,0.000,0.000,0.000,948.968,0.000,0.000,673.470,1080.574,0.000,9028.960,81.883,0.000,363.034,0.000,5527.974,0.000,1858.850,0.000,0.000,0.000,2041.355,0.000,291.017,1120.365,108.407,0.000,482.101,241.394,3749.034,0.000,7150.703,0.000,0.000,0.000,0.000,116.840,0.000,4924.077,0.000,1321.091,899.905,10199.137,0.000,0.000,0.000,0.000,2263.956
1072.483,2284.036,3317.694,497.529,3355.987,33876.892,2772.617,1445.042,1371.417,191.463,12010.038,189.753,3223.686,1039.489,738.059,382.420,0.000,1024.035,185.295,576.689,4400.799,1147.230,822.052,2591.923,1751.541,2287.328,945.088,390.592,5605.595,1837.681,2201.866,996.292,842.019,695.239,982.635,1389.398,1444.110,1100.072,921.457,300.803,287.035,7699.720,709.629,221.611,3569.192,0.000,1241.986,5990.294,2147.379,3481.481,1531.410,0.000,1207.620,269.622,0.000,268.065,170.736,34.889,852.152,14314.745,4235.700,1639.104,8455.272,1788.447,2254.193,2234.267,3340.401,476.166,9317.084,2078.871,1120.510,1462.767,1363.614,354.277,683.585,2053.246,780.187,582.224,85.724,1139.420,720.242,1783.962,375.728,3040.627,909.832,777.906,1529.061,2074.242,0.000,1850.327,1069.616,1192.733,31.328,283.350,3660.651,1799.772
113.147,1159.399,129.340,0.000,2033.862,2539.017,78797.310,780.037,1515.044,1387.303,5283.587,3721.329,1369.297,522.985,1671.806,852.525,2148.051,2125.957,3504.193,1934.483,0.000,3222.223,2482.350,0.000,1738.664,13820.959,1697.160,1247.848,1383.250,3850.322,1119.639,4200.097,436.232,3056.456,7444.555,7065.650,1858.077,5884.647,1345.593,1069.786,717.325,2050.394,4222.545,1048.449,26668.013,3620.489,1812.698,2523.487,10052.144,943.676,1716.191,96.119,2391.353,2588.883,263.490,380.575,1039.895,489.837,1649.007,5611.934,186.614,4756.973,1931.282,1863.753,2522.635,12351.724,2398.687,3979.805,3247.477,4028.353,4391.288,2377.307,618.609,637.934,294.343,1739.397,4213.604,6230.887,0.000,1974.509,248.012,928.920,2675.702,371.780,748.334,883.295,1513.673,2042.167,2961.396,20108.159,336.212,928.457,3254.012,1251.520,1081.696,1106.625
1659.175,75.531,0.000,976.808,2528.881,202.530,975.968,55140.134,327.211,6840.690,612.908,281.434,0.000,764.591,217.000,121.037,0.000,1483.441,0.000,1690.364,28.498,656.600,162.359,2473.331,2799.371,1753.265,794.006,1412.388,261.040,38.306,2621.177,515.972,2983.098,436.895,1226.324,3013.480,1896.057,1292.001,345.741,0.000,0.000,627.606,0.000,26.194,1653.625,0.000,1628.608,369.215,846.199,303.464,60.208,0.000,10685.693,0.000,0.000,3513.673,1153.484,0.000,1771.213,387.974,0.000,870.997,0.000,1240.996,172.439,1522.330,121.037,1353.727,410.528,1084.152,925.354,640.961,1524.497,646.674,0.000,5322.038,286.342,3453.285,0.000,4172.806,3549.937,567.250,0.000,753.629,1974.859,5211.913,1167.828,266.586,4630.189,786.991,502.656,480.795,2169.469,571.743,18.488,2602.163
304.514,278.249,16.251,53.200,1184.724,1099.237,1134.282,364.704,47514.472,2704.935,2920.636,1107.618,1975.213,645.860,386.670,260.726,0.000,492.757,113.543,510.986,1652.880,0.000,0.000,446.964,2395.064,1518.872,557.416,1331.414,1747.972,686.699,793.158,1034.616,151.690,383.697,1339.842,1522.031,957.194,2479.811,223.164,83.527,0.000,1101.195,740.411,541.181,870.924,557.781,740.792,811.126,1579.039,1561.479,1240.211,0.000,2448.469,101.182,0.000,4093.842,210.224,603.327,1077.616,2148.061,0.000,770.447,0.000,473.149,0.000,4189.753,0.000,275.020,6957.185,3279.366,509.124,403.860,679.044,624.187,1885.860,251.155,3245.767,3646.339,26.360,361.045,2322.332,1606.576,77.187,2114.941,2179.292,1184.953,507.390,205.969,274.400,1316.915,909.266,38.124,167.797,105.433,284.105,0.000
316.284,34.868,0.000,1121.129,1002.056,193.221,1470.744,6938.325,3119.104,43708.278,197.358,0.000,1506.421,2164.507,126.578,155.115,445.368,3014.043,0.000,1111.788,666.231,394.902,0.000,1355.626,2500.041,533.916,373.484,473.844,2277.230,1293.363,1280.143,337.726,1051.487,1024.302,329.023,4484.060,3054.219,129.205,393.679,90.038,217.237,696.554,1275.337,1797.712,1115.368,2835.502,1776.358,603.408,1537.002,222.669,806.933,0.000,5094.167,0.000,0.000,3841.133,222.518,0.000,2865.515,662.180,0.000,915.093,0.000,1374.384,159.502,2398.592,52.959,1221.538,2711.462,551.828,222.709,1650.100,1138.687,3768.418,1246.406,1929.506,328.519,6081.189,117.791,3548.813,1921.715,1638.851,702.844,3328.442,2240.659,1245.183,3001.605,150.566,2474.825,1285.550,968.076,2443.533,4655.939,383.061,205.517,825.069
