O*NET-SOC 2010 (CÓDIGO),O*NET-SOC 2010 (NOME),2010 SOC (CÓDIGO),2010 SOC (TÍTULO),Isco08 (CÓDIGO),Isco08 (TÍTULO),PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),CBO CÓDIGO,CBO TÍTULO
11-1011.00,Chief Executives,11-1011,Chief Executives,1112,Senior government officials,1112,Dirigentes superiores da administração pública,111405,Dirigente do serviço público federal
11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives,1112,Senior government officials,1112,Dirigentes superiores da administração pública,111405,Dirigente do serviço público federal
11-1021.00,General and Operations Managers,11-1021,General and Operations Managers,1112,Senior government officials,1112,Dirigentes superiores da administração pública,111405,Dirigente do serviço público federal
11-1031.00,Legislators,11-1031,Legislators,1111,Legislators,1111,Legisladores,111105,Senador
11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,1222,Advertising and public relations managers,1222,Dirigentes de publicidade e relações públicas,142310,Gerente de comunicação
11-2011.01,Green Marketers,11-2011,Advertising and Promotions Managers,1222,Advertising and public relations managers,1222,Dirigentes de publicidade e relações públicas,142310,Gerente de comunicação
11-2021.00,Marketing Managers,11-2021,Marketing Managers,1221,Sales and marketing managers,1221,Dirigentes de vendas e  comercialização,123305,Diretor comercial
11-2022.00,Sales Managers,11-2022,Sales Managers,1221,Sales and marketing managers,1221,Dirigentes de vendas e  comercialização,123305,Diretor comercial
11-2031.00,Public Relations and Fundraising Managers,11-2031,Public Relations and Fundraising Managers,1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-3011.00,Administrative Services Managers,11-3011,Administrative Services Managers,1219,Business services and administration managers not elsewhere classified,1219,Dirigentes de administração e de serviços não classificados anteriormente,123105,Diretor administrativo
11-3021.00,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,1330,Information and communications technology service managers,1330,Dirigentes de serviços de tecnologia da informação e comunicações,123605,Diretor de tecnologia da informação
11-3031.00,Financial Managers,11-3031,Financial Managers,1211,Finance managers,1211,Dirigentes financeiros,122705,Diretor comercial em operações de intermediação financeira
11-3031.01,Treasurers and Controllers,11-3031,Financial Managers,1211,Finance managers,1211,Dirigentes financeiros,122705,Diretor comercial em operações de intermediação financeira
11-3031.02,"Financial Managers, Branch or Department",11-3031,Financial Managers,1211,Finance managers,1211,Dirigentes financeiros,122705,Diretor comercial em operações de intermediação financeira
11-3051.00,Industrial Production Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.01,Quality Control Systems Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.02,Geothermal Production Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.03,Biofuels Production Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.04,Biomass Power Plant Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.05,Methane/Landfill Gas Collection System Operators,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3051.06,Hydroelectric Production Managers,11-3051,Industrial Production Managers,1321,Manufacturing managers,1321,Dirigentes de indústria de transformação,141205,Gerente de produção e operações
11-3061.00,Purchasing Managers,11-3061,Purchasing Managers,1219,Business services and administration managers not elsewhere classified,1219,Dirigentes de administração e de serviços não classificados anteriormente,123105,Diretor administrativo
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",1324,"Supply, distribution and related managers",1324,"Dirigentes de empresas de abastecimento, distribuição e afins",122605,Diretor de operações de correios
11-3071.01,Transportation Managers,11-3071,"Transportation, Storage, and Distribution Managers",1324,"Supply, distribution and related managers",1324,"Dirigentes de empresas de abastecimento, distribuição e afins",122605,Diretor de operações de correios
11-3071.02,Storage and Distribution Managers,11-3071,"Transportation, Storage, and Distribution Managers",1324,"Supply, distribution and related managers",1324,"Dirigentes de empresas de abastecimento, distribuição e afins",122605,Diretor de operações de correios
11-3071.03,Logistics Managers,11-3071,"Transportation, Storage, and Distribution Managers",1324,"Supply, distribution and related managers",1324,"Dirigentes de empresas de abastecimento, distribuição e afins",122605,Diretor de operações de correios
11-3111.00,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,1212,Human resource managers,1212,Dirigentes de recursos humanos,123205,Diretor de recursos humanos
11-3121.00,Human Resources Managers,11-3121,Human Resources Managers,1212,Human resource managers,1212,Dirigentes de recursos humanos,123205,Diretor de recursos humanos
11-3131.00,Training and Development Managers,11-3131,Training and Development Managers,1212,Human resource managers,1212,Dirigentes de recursos humanos,123205,Diretor de recursos humanos
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1311,Agricultural and forestry production managers,1311,Dirigentes de produção agropecuária e silvicultura,122105,Diretor de produção e operações em empresa agropecuária
11-9013.01,Nursery and Greenhouse Managers,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1311,Agricultural and forestry production managers,1311,Dirigentes de produção agropecuária e silvicultura,122105,Diretor de produção e operações em empresa agropecuária
11-9013.02,Farm and Ranch Managers,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1311,Agricultural and forestry production managers,1311,Dirigentes de produção agropecuária e silvicultura,122105,Diretor de produção e operações em empresa agropecuária
11-9013.03,Aquacultural Managers,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1311,Agricultural and forestry production managers,1311,Dirigentes de produção agropecuária e silvicultura,122105,Diretor de produção e operações em empresa agropecuária
11-9021.00,Construction Managers,11-9021,Construction Managers,1323,Construction managers,1323,Dirigentes de empresas de construção,141305,Gerente de produção e operações da construção civil e obras públicas
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-9031,"Education Administrators, Preschool and Childcare Center/Program",1341,Child care services managers,1341,Dirigentes de serviços de cuidados infantis,131305,Diretor de instituição educacional da área privada
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9032,"Education Administrators, Elementary and Secondary School",1345,Education managers,1345,Dirigentes de serviços de educação,131110,Diretor de serviços sociais
11-9033.00,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary",1345,Education managers,1345,Dirigentes de serviços de educação,131110,Diretor de serviços sociais
11-9039.00,"Education Administrators, All Other",11-9039,"Education Administrators, All Other",1345,Education managers,1345,Dirigentes de serviços de educação,131110,Diretor de serviços sociais
11-9039.01,Distance Learning Coordinators,11-9039,"Education Administrators, All Other",1345,Education managers,1345,Dirigentes de serviços de educação,131110,Diretor de serviços sociais
11-9039.02,Fitness and Wellness Coordinators,11-9039,"Education Administrators, All Other",1345,Education managers,1345,Dirigentes de serviços de educação,131110,Diretor de serviços sociais
11-9041.00,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers,1223,Research and development managers,1223,Dirigentes de pesquisa e desenvolvimento,123705,Diretor de pesquisa e desenvolvimento (p&d)
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041,Architectural and Engineering Managers,1223,Research and development managers,1223,Dirigentes de pesquisa e desenvolvimento,123705,Diretor de pesquisa e desenvolvimento (p&d)
11-9051.00,Food Service Managers,11-9051,Food Service Managers,1412,Restaurant managers,1412,Gerentes de restaurantes,122505,Diretor de produção e operações de alimentação
11-9061.00,Funeral Service Managers,11-9061,Funeral Service Managers,1219,Business services and administration managers not elsewhere classified,1219,Dirigentes de administração e de serviços não classificados anteriormente,123105,Diretor administrativo
11-9071.00,Gaming Managers,11-9071,Gaming Managers,1431,"Sports, recreation and cultural centre managers",1431,"Gerentes de centros esportivos,  de diversão e culturais",114405,Dirigente e administrador de organização da sociedade civil sem fins lucrativos
11-9081.00,Lodging Managers,11-9081,Lodging Managers,1411,Hotel managers,1411,Gerentes de hotéis,122510,Diretor de produção e operações de hotel
11-9111.00,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,1342,Health services managers,1342,Dirigentes de serviços de saúde,131205,Diretor de serviços de saúde
11-9121.00,Natural Sciences Managers,11-9121,Natural Sciences Managers,1223,Research and development managers,1223,Dirigentes de pesquisa e desenvolvimento,123705,Diretor de pesquisa e desenvolvimento (p&d)
11-9121.01,Clinical Research Coordinators,11-9121,Natural Sciences Managers,1223,Research and development managers,1223,Dirigentes de pesquisa e desenvolvimento,123705,Diretor de pesquisa e desenvolvimento (p&d)
11-9121.02,Water Resource Specialists,11-9121,Natural Sciences Managers,1223,Research and development managers,1223,Dirigentes de pesquisa e desenvolvimento,123705,Diretor de pesquisa e desenvolvimento (p&d)
11-9131.00,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,1219,Business services and administration managers not elsewhere classified,1219,Dirigentes de administração e de serviços não classificados anteriormente,123105,Diretor administrativo
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",3334,Real estate agents and property managers,3334,Agentes imobiliários,354605,Corretor de imóveis
11-9151.00,Social and Community Service Managers,11-9151,Social and Community Service Managers,1344,Social welfare managers,1344,Dirigentes de serviços de bem-estar social,131105,Diretor de serviços culturais
11-9161.00,Emergency Management Directors,11-9161,Emergency Management Directors,1112,Senior government officials,1112,Dirigentes superiores da administração pública,111405,Dirigente do serviço público federal
11-9199.00,"Managers, All Other",11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.01,Regulatory Affairs Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.02,Compliance Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.03,Investment Fund Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.04,Supply Chain Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.07,Security Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.08,Loss Prevention Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.09,Wind Energy Operations Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.10,Wind Energy Project Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199,"Managers, All Other",1114,Senior officials of special-interest organizations,1114,Dirigentes de organizações que apresentam um interesse especial,114105,Dirigente de partido político
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021,"Buyers and Purchasing Agents, Farm Products",3323,Buyers,3323,Agentes de compras,354205,Comprador
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022,"Wholesale and Retail Buyers, Except Farm Products",3323,Buyers,3323,Agentes de compras,354205,Comprador
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3323,Buyers,3323,Agentes de compras,354205,Comprador
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-1031.01,"Claims Examiners, Property and Casualty Insurance",13-1031,"Claims Adjusters, Examiners, and Investigators",3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032,"Insurance Appraisers, Auto Damage",3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-1041.00,Compliance Officers,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.02,Licensing Examiners and Inspectors,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.06,Coroners,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance Officers,3351,Customs and border inspectors,3351,Agentes aduaneiros e inspetores de fronteiras,342215,Analista de desembaraço aduaneiro
13-1051.00,Cost Estimators,13-1051,Cost Estimators,3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-1071.00,Human Resources Specialists,13-1071,Human Resources Specialists,2423,Personnel and careers professionals,2423,Especialistas em políticas e serviços de pessoal e afins,252405,Analista de recursos humanos
13-1074.00,Farm Labor Contractors,13-1074,Farm Labor Contractors,3333,Employment agents and contractors,3333,Agentes de emprego e agenciadores de mão de obra,351315,Agente de recrutamento e seleção
13-1075.00,Labor Relations Specialists,13-1075,Labor Relations Specialists,2423,Personnel and careers professionals,2423,Especialistas em políticas e serviços de pessoal e afins,252405,Analista de recursos humanos
13-1081.00,Logisticians,13-1081,Logisticians,2421,Management and organization analysts,2421,Analistas de gestão e administração,252715,Analista de logistica
13-1081.01,Logistics Engineers,13-1081,Logisticians,2421,Management and organization analysts,2421,Analistas de gestão e administração,214945,Engenheiro de logistica
13-1081.02,Logistics Analysts,13-1081,Logisticians,2421,Management and organization analysts,2421,Analistas de gestão e administração,252715,Analista de logistica
13-1111.00,Management Analysts,13-1111,Management Analysts,2421,Management and organization analysts,2421,Analistas de gestão e administração,141615,Gerente de logística (armazenagem e distribuição)
13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners",3332,Conference and event planners,3332,Organizadores de conferências e eventos,376305,Apresentador de eventos
13-1131.00,Fundraisers,13-1131,Fundraisers,4214,Debt-collectors and related workers,4214,Cobradores e afins,421305,Cobrador externo
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists",2423,Personnel and careers professionals,2423,Especialistas em políticas e serviços de pessoal e afins,252405,Analista de recursos humanos
13-1151.00,Training and Development Specialists,13-1151,Training and Development Specialists,2356,Information technology trainers,2356,Instrutores em tecnologias da informação,233210,Instrutor de aprendizagem e treinamento industrial
13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists,2431,Advertising and marketing professionals,2431,Profissionais da publicidade e da comercialização,253110,Redator de publicidade
13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,253225,Operador de negócios
13-1199.01,Energy Auditors,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,252205,Auditor (contadores e afins)
13-1199.02,Security Management Specialists,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,212320,Administrador em segurança da informação
13-1199.03,Customs Brokers,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,342210,Despachante aduaneiro
13-1199.04,Business Continuity Planners,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,142330,Analista de negócios
13-1199.05,Sustainability Specialists,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,311505,Técnico de controle de meio ambiente
