PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),avg_teleworkable
1112,Dirigentes superiores da administração pública,0.75
1114,Dirigentes de organizações que apresentam um interesse especial,0.9
1211,Dirigentes financeiros,1
1212,Dirigentes de recursos humanos,1
1219,Dirigentes de administração e de serviços não classificados anteriormente,0.75
1221,Dirigentes de vendas e  comercialização,1
1222,Dirigentes de publicidade e relações públicas,1
1223,Dirigentes de pesquisa e desenvolvimento,0.8
1311,Dirigentes de produção agropecuária e silvicultura,0
1321,Dirigentes de indústria de transformação,0
1323,Dirigentes de empresas de construção,0
1324,"Dirigentes de empresas de abastecimento, distribuição e afins",0.6666666666666666
1330,Dirigentes de serviços de tecnologia da informação e comunicações,1
1341,Dirigentes de serviços de cuidados infantis,0
1342,Dirigentes de serviços de saúde,1
1344,Dirigentes de serviços de bem-estar social,1
1345,Dirigentes de serviços de educação,1
1411,Gerentes de hotéis,0
1412,Gerentes de restaurantes,0
1431,"Gerentes de centros esportivos,  de diversão e culturais",0
2111,Físicos e astrônomos,1
2112,Meteorologistas,1
2113,Químicos,0
2114,Geólogos e geofísicos,1
2120,"Matemáticos, atuários e estatísticos",1
2131,"Biólogos, botânicos, zoólogos e afins",0.6666666666666666
2132,Agrônomos e afins,0
2133,Profissionais da proteção do meio ambiente,0.7142857142857143
2141,Engenheiros industriais e de produção,0.5
2142,Engenheiros civis,1
2143,Engenheiros de meio ambiente,1
2144,Engenheiros mecânicos,0.42857142857142855
2145,Engenheiros químicos,0
2146,"Engenheiros de minas, metalúrgicos e afins",0.3333333333333333
2149,Engenheiros não classificados anteriormente,0.4375
2151,Engenheiros eletricistas,1
2152,Engenheiros eletrônicos,1
2161,Arquitetos de edificações,1
2162,Arquitetos paisagistas,1
2163,Desenhistas de produtos e  vestuário,1
2164,Urbanistas e engenheiros de trânsito,0
2165,Cartógrafos e agrimensores,0.6666666666666666
2166,Desenhistas gráficos e de multimídia,1
2211,Médicos gerais,0.06666666666666667
2212,Médicos especialistas,0.25
2221,Profissionais de enfermagem,0
2222,Profissionais de partos,0
2230,Profissionais da medicina tradicional e alternativa,0
2240,Paramédicos,0
2250,Veterinários,0
2261,Dentistas,0
2262,Farmacêuticos,0
2263,Profissionais da saúde e da higiene laboral e ambiental,0
2264,Fisioterapeutas,0
2265,Dietistas e nutricionistas,0
