Ano,Trimestre,V4010,S01015_binary,S01028_binary,S01029_binary,minimum_conditions
2018,1,0210,1,1,1,1
2018,1,0412,1,0,1,0
2018,1,1120,1,1,1,1
2018,1,1211,1,0,1,0
2018,1,1212,1,1,1,1
2018,1,1213,1,1,1,1
2018,1,1219,1,1,1,1
2018,1,1221,1,0,1,0
2018,1,1222,1,0,0,0
2018,1,1223,1,1,1,1
2018,1,1311,1,1,1,1
2018,1,1321,1,1,1,1
2018,1,1323,1,1,1,1
2018,1,1324,1,1,1,1
2018,1,1330,1,0,1,0
2018,1,1345,1,1,1,1
2018,1,1346,1,1,1,1
2018,1,1412,1,0,1,0
2018,1,1420,1,0,1,0
2018,1,1431,1,1,1,1
2018,1,1439,1,0,0,0
2018,1,2131,1,1,1,1
2018,1,2142,1,0,1,0
2018,1,2145,1,1,1,1
2018,1,2149,1,1,1,1
2018,1,2151,1,1,1,1
2018,1,2152,1,1,1,1
2018,1,2153,1,1,1,1
2018,1,2161,1,1,1,1
2018,1,2166,1,1,1,1
2018,1,2212,1,1,1,1
2018,1,2221,1,1,1,1
2018,1,2250,1,1,1,1
2018,1,2261,1,1,1,1
2018,1,2262,1,0,1,0
2018,1,2264,1,1,0,0
2018,1,2265,1,1,1,1
2018,1,2310,1,1,1,1
2018,1,2320,1,1,1,1
2018,1,2330,1,1,1,1
2018,1,2341,1,1,0,0
2018,1,2342,1,1,1,1
2018,1,2351,1,0,1,0
2018,1,2353,1,1,1,1
2018,1,2359,1,1,1,1
2018,1,2411,1,1,1,1
2018,1,2413,1,0,0,0
2018,1,2421,1,0,1,0
2018,1,2423,1,0,1,0
2018,1,2431,1,1,0,0
2018,1,2432,1,1,1,1
2018,1,2433,1,0,1,0
2018,1,2511,1,1,0,0
2018,1,2512,1,1,1,1
2018,1,2514,1,1,1,1
2018,1,2522,1,1,1,1
2018,1,2611,1,0,1,0
2018,1,2631,1,1,1,1
2018,1,2634,1,1,1,1
2018,1,2635,1,1,1,1
2018,1,2636,1,1,1,1
2018,1,2641,1,1,1,1
2018,1,2642,1,1,1,1
2018,1,2652,1,1,1,1
2018,1,2653,1,1,1,1
2018,1,2654,1,1,1,1
2018,1,2655,1,1,1,1
2018,1,3114,1,0,1,0
2018,1,3115,1,1,1,1
2018,1,3116,1,1,1,1
2018,1,3117,1,1,1,1
2018,1,3118,1,1,1,1
2018,1,3119,1,1,1,1
2018,1,3122,1,1,1,1
2018,1,3123,1,1,1,1
2018,1,3211,1,0,1,0
2018,1,3212,1,1,0,0
2018,1,3213,1,1,1,1
2018,1,3221,1,0,1,0
2018,1,3230,1,1,0,0
2018,1,3251,1,0,0,0
2018,1,3253,1,1,1,1
2018,1,3255,1,1,1,1
2018,1,3257,1,0,0,0
2018,1,3259,1,1,1,1
2018,1,3311,1,1,1,1
2018,1,3312,1,1,1,1
2018,1,3313,1,1,1,1
2018,1,3315,1,1,1,1
2018,1,3321,1,0,0,0
2018,1,3322,1,0,1,0
2018,1,3334,1,0,1,0
2018,1,3339,1,1,1,1
2018,1,3341,1,0,1,0
2018,1,3342,1,1,1,1
2018,1,3343,1,1,1,1
2018,1,3353,1,1,1,1
2018,1,3411,1,0,1,0
2018,1,3412,1,0,1,0
2018,1,3422,1,1,1,1
2018,1,3423,1,1,0,0
2018,1,3431,1,1,1,1
2018,1,3432,1,1,1,1
2018,1,3511,1,1,1,1
2018,1,3512,1,1,1,1
2018,1,3513,1,1,1,1
2018,1,3521,1,1,1,1
2018,1,3522,1,1,1,1
2018,1,4110,1,0,0,0
2018,1,4212,1,0,0,0
2018,1,4221,1,1,1,1
2018,1,4222,1,0,0,0
2018,1,4226,1,0,1,0
2018,1,4229,1,0,1,0
2018,1,4311,1,0,1,0
2018,1,4312,1,1,1,1
2018,1,4321,1,0,1,0
2018,1,4412,1,0,1,0
2018,1,5112,1,0,1,0
2018,1,5120,1,0,1,0
2018,1,5131,1,0,1,0
2018,1,5132,1,0,0,0
2018,1,5141,1,0,0,0
2018,1,5142,1,0,0,0
2018,1,5151,1,1,1,1
2018,1,5152,1,1,1,1
2018,1,5153,1,0,0,0
2018,1,5211,1,0,1,0
2018,1,5212,1,0,1,0
2018,1,5221,1,0,0,0
2018,1,5222,1,0,1,0
2018,1,5223,1,0,0,0
2018,1,5230,0,0,0,0
2018,1,5242,1,1,1,1
2018,1,5243,1,0,0,0
2018,1,5244,1,0,0,0
2018,1,5246,1,0,1,0
2018,1,5249,1,1,1,1
2018,1,5311,1,0,0,0
2018,1,5312,1,0,1,0
2018,1,5321,1,1,1,1
2018,1,5322,1,0,1,0
2018,1,5329,1,1,1,1
2018,1,5414,1,0,1,0
2018,1,5419,1,0,1,0
2018,1,6112,1,1,1,1
2018,1,7111,1,1,1,1
2018,1,7112,1,0,0,0
2018,1,7113,1,0,1,0
2018,1,7114,1,0,1,0
2018,1,7115,1,1,1,1
2018,1,7123,1,0,1,0
2018,1,7125,1,0,1,0
2018,1,7126,0,0,1,0
2018,1,7131,1,0,1,0
2018,1,7132,1,0,1,0
2018,1,7212,1,0,1,0
2018,1,7213,1,0,0,0
2018,1,7214,1,0,1,0
2018,1,7223,1,0,1,0
2018,1,7231,1,0,1,0
2018,1,7233,1,0,0,0
2018,1,7317,1,1,1,1
2018,1,7319,1,0,1,0
2018,1,7321,1,0,0,0
2018,1,7322,1,1,1,1
2018,1,7323,1,0,1,0
2018,1,7411,1,0,1,0
2018,1,7412,1,0,1,0
2018,1,7413,1,1,1,1
2018,1,7421,1,1,1,1
2018,1,7422,1,0,1,0
2018,1,7511,1,0,1,0
2018,1,7512,1,0,1,0
2018,1,7522,1,1,1,1
2018,1,7531,1,0,0,0
2018,1,7533,1,0,1,0
2018,1,7534,1,1,1,1
2018,1,7543,1,1,1,1
2018,1,8121,1,0,1,0
2018,1,8132,1,1,1,1
2018,1,8141,1,0,1,0
2018,1,8142,1,0,1,0
2018,1,8153,1,0,0,0
2018,1,8159,1,1,1,1
2018,1,8160,1,1,1,1
2018,1,8211,1,0,1,0
2018,1,8212,1,0,1,0
2018,1,8219,1,0,0,0
2018,1,8321,1,0,1,0
2018,1,8322,1,0,0,0
2018,1,8331,1,0,1,0
2018,1,8332,1,0,0,0
2018,1,8341,1,0,1,0
2018,1,8343,1,0,1,0
2018,1,8344,1,1,1,1
2018,1,9111,1,0,0,0
