Ano;Trimestre;V4010;PNAD CONTÍNUA _COD(TÍTULO);avg_teleworkable;minimum_conditions;teleworkable_score
2018;1;1211;Dirigentes financeiros;1;0.9090909090909091;0.9090909090909091
2018;1;1212;Dirigentes de recursos humanos;1;1;1
2018;1;1219;Dirigentes de administração e de serviços não classificados anteriormente;0.75;1;0.75
2018;1;1221;Dirigentes de vendas e  comercialização;1;0.9047619047619048;0.9047619047619048
2018;1;1222;Dirigentes de publicidade e relações públicas;1;0;0
2018;1;1223;Dirigentes de pesquisa e desenvolvimento;0.8;1;0.8
2018;1;1311;Dirigentes de produção agropecuária e silvicultura;0;1;0
2018;1;1321;Dirigentes de indústria de transformação;0;1;0
2018;1;1323;Dirigentes de empresas de construção;0;1;0
2018;1;1324;Dirigentes de empresas de abastecimento, distribuição e afins;0.6666666666666666;1;0.6666666666666666
2018;1;1330;Dirigentes de serviços de tecnologia da informação e comunicações;1;0.8333333333333334;0.8333333333333334
2018;1;1345;Dirigentes de serviços de educação;1;1;1
2018;1;1412;Gerentes de restaurantes;0;0.6666666666666666;0
2018;1;1431;Gerentes de centros esportivos,  de diversão e culturais;0;1;0
2018;1;2131;Biólogos, botânicos, zoólogos e afins;0.6666666666666666;1;0.6666666666666666
2018;1;2142;Engenheiros civis;1;0.75;0.75
2018;1;2145;Engenheiros químicos;0;1;0
2018;1;2149;Engenheiros não classificados anteriormente;0.4375;1;0.4375
2018;1;2151;Engenheiros eletricistas;1;1;1
2018;1;2152;Engenheiros eletrônicos;1;1;1
2018;1;2161;Arquitetos de edificações;1;1;1
2018;1;2166;Desenhistas gráficos e de multimídia;1;1;1
2018;1;2212;Médicos especialistas;0.25;1;0.25
2018;1;2221;Profissionais de enfermagem;0;1;0
2018;1;2250;Veterinários;0;1;0
2018;1;2261;Dentistas;0;1;0
2018;1;2262;Farmacêuticos;0;0;0
2018;1;2264;Fisioterapeutas;0;0.75;0
2018;1;2265;Dietistas e nutricionistas;0;1;0
2018;1;2310;Professores de universidades e do ensino superior;0.9714285714285714;1;0.9714285714285714
2018;1;2320;Professores de formação profissional;1;1;1
2018;1;2330;Professores do ensino médio;1;1;1
2018;1;2341;Professores do ensino fundamental;1;0.8461538461538461;0.8461538461538461
2018;1;2342;Professores do ensino pré-escolar;1;1;1
2018;1;2351;Especialistas em métodos pedagógicos;1;0.75;0.75
2018;1;2353;Outros professores de idiomas;1;1;1
2018;1;2359;Profissionais de ensino não classificados anteriormente;1;1;1
2018;1;2411;Contadores;0.75;1;0.75
2018;1;2413;Analistas financeiros;1;0.5;0.5
2018;1;2421;Analistas de gestão e administração;1;0.5;0.5
2018;1;2423;Especialistas em políticas e serviços de pessoal e afins;1;0.75;0.75
2018;1;2431;Profissionais da publicidade e da comercialização;1;0.875;0.875
2018;1;2432;Profissionais de relações públicas;1;1;1
2018;1;2433;Profissionais de vendas técnicas e médicas (exclusive tic);1;0.5;0.5
2018;1;2511;Analistas de sistemas;1;0.9;0.9
2018;1;2512;Desenvolvedores de programas e aplicativos (software);1;1;1
2018;1;2514;Programadores de aplicações;1;1;1
2018;1;2522;Administradores de sistemas;1;1;1
2018;1;2611;Advogados e juristas;1;0.9545454545454546;0.9545454545454546
2018;1;2631;Economistas;1;1;1
2018;1;2634;Psicólogos;1;1;1
2018;1;2635;Assistentes sociais;0.5;1;0.5
2018;1;2636;Ministros de cultos religiosos, missionários e afins;1;1;1
2018;1;2641;Escritores;1;1;1
2018;1;2642;Jornalistas;1;1;1
2018;1;2652;Músicos, cantores e compositores;0.25;1;0.25
2018;1;2653;Bailarinos e coreógrafos;0;1;0
2018;1;2654;Diretores de cinema, de teatro e afins;0.5714285714285714;1;0.5714285714285714
2018;1;2655;Atores;0;1;0
2018;1;3115;Técnicos em engenharia mecânica;0;1;0
2018;1;3118;Desenhistas e projetistas técnicos;1;1;1
2018;1;3119;Técnicos em ciências físicas e da engenharia não classificados anteriormente;0;1;0
2018;1;3122;Supervisores de indústrias de transformação;0;1;0
2018;1;3211;Técnicos em aparelhos de diagnóstico e tratamento médico;0;0.6666666666666666;0
2018;1;3212;Técnicos de laboratórios médicos;0;0.5;0
2018;1;3213;Técnicos e assistentes farmacêuticos;0;1;0
2018;1;3221;Profissionais de nível médio de enfermagem;0;0.9166666666666666;0
2018;1;3251;Dentistas auxiliares e ajudantes de odontologia;0;0;0
2018;1;3253;Trabalhadores comunitários da saúde;0;1;0
2018;1;3255;Técnicos e assistentes fisioterapeutas;0;1;0
2018;1;3257;Inspetores de saúde laboral, ambiental e afins;0;0.5;0
2018;1;3259;Profissionais de nível médio da saúde não classificados anteriormente;0.07692307692307693;1;0.07692307692307693
2018;1;3311;Agentes e corretores de bolsa, câmbio e outros serviços financeiros;1;1;1
2018;1;3312;Agentes de empréstimos e financiamento;0.6666666666666666;1;0.6666666666666666
2018;1;3313;Contabilistas e guarda livros;1;1;1
2018;1;3315;Avaliadores;0.8;1;0.8
2018;1;3321;Agentes de seguros;1;0.6666666666666666;0.6666666666666666
2018;1;3322;Representantes comerciais;1;0.5;0.5
2018;1;3334;Agentes imobiliários;0.6666666666666666;0.8888888888888888;0.5925925925925926
2018;1;3339;Agentes de serviços comerciais não classificados anteriormente;0.7142857142857143;1;0.7142857142857143
2018;1;3341;Supervisores de secretaria;1;0.6666666666666666;0.6666666666666666
2018;1;3342;Secretários jurídicos;1;1;1
2018;1;3343;Secretários executivos e administrativos;1;1;1
2018;1;3353;Agentes de serviços de seguridade social;0;1;0
2018;1;3411;Profissionais de nível médio do direito e serviços legais e afins;0.8333333333333334;0.8;0.6666666666666667
2018;1;3412;Trabalhadores e assistentes sociais de nível médio;0;0.3333333333333333;0
2018;1;3422;Treinadores, instrutores e árbitros de atividades esportivas;0.5;1;0.5
2018;1;3423;Instrutores de educação física e atividades recreativas;0.5;0.5;0.25
2018;1;3431;Fotógrafos;1;1;1
2018;1;3432;Desenhistas e decoradores de interiores;0.6666666666666666;1;0.6666666666666666
2018;1;3511;Técnicos em operações de tecnologia da informação e das comunicações;1;1;1
2018;1;3512;Técnicos em assistência ao usuário de tecnologia da informação e das comunicações;1;1;1
2018;1;3513;Técnicos de redes e sistemas de computadores;1;1;1
2018;1;3521;Técnicos de radiodifusão e gravação audiovisual;0.8;1;0.8
2018;1;4110;Escriturários gerais;1;0.7073170731707317;0.7073170731707317
2018;1;4212;Coletores de apostas e de jogos;0.2;0;0
2018;1;4221;Trabalhadores de agências de viagem;0;1;0
2018;1;4222;Trabalhadores de centrais de atendimento;0.3333333333333333;0.7222222222222222;0.24074074074074073
2018;1;4311;Trabalhadores de contabilidade e cálculo de custos;0.5;0.8;0.4
2018;1;4312;Trabalhadores de serviços estatísticos, financeiros e de seguros;0.7142857142857143;1;0.7142857142857143
2018;1;4321;Trabalhadores de controle de abastecimento e estoques;0.2;0.6666666666666666;0.13333333333333333
2018;1;4412;Trabalhadores de serviços de correios;0.5;0;0
2018;1;5120;Cozinheiros;0.25;0.6666666666666666;0.16666666666666666
2018;1;5131;Garçons;0;0.5;0
2018;1;5132;atendentes de bar;0;0;0
2018;1;5141;Cabeleireiros;0;0.6;0
2018;1;5142;Especialistas em tratamento de beleza e afins;0.25;0.6;0.15
2018;1;5151;Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos;0;1;0
2018;1;5153;Porteiros e zeladores;0;0.6666666666666666;0
2018;1;5211;Vendedores de quiosques e postos de mercados;0;0;0
2018;1;5222;Supervisores de lojas;0;0.6666666666666666;0
2018;1;5223;Balconistas e vendedores de lojas;0;0.46511627906976744;0
2018;1;5230;Caixas e expedidores de bilhetes;0;0.5384615384615384;0
2018;1;5242;Demonstradores de lojas;0;1;0
2018;1;5244;Vendedores por telefone;1;0.6666666666666666;0.6666666666666666
2018;1;5246;Balconistas dos serviços de alimentação;0;0.4;0
2018;1;5249;Vendedores não classificados anteriormente;0;1;0
2018;1;5311;Cuidadores de crianças;1;0.3;0.3
2018;1;5312;Ajudantes de professores;1;0.5;0.5
2018;1;5321;Trabalhadores de cuidados pessoais em instituições;0;1;0
2018;1;5322;Trabalhadores de cuidados pessoais a domicílios;0;0.6;0
2018;1;5329;Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente;0;1;0
2018;1;5414;Guardas de segurança;0;0.6470588235294118;0
2018;1;5419;Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;0.14285714285714285;0;0
2018;1;7112;Pedreiros;0;0.4838709677419355;0
2018;1;7113;Canteiros, cortadores e gravadores de pedras;0;0;0
2018;1;7114;Trabalhadores em cimento e concreto armado;0;0;0
2018;1;7115;Carpinteiros;0;1;0
2018;1;7123;Gesseiros;0;0;0
2018;1;7125;Vidraceiros;0;0;0
