"Ano","Trimestre","UF","Capital","S01015","S01028","S01029","V4010"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim","7411"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim","5322"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","7512"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","5322"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","4225"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2411"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim","3423"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim","5223"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","3432"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","3432"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","3221"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","4321"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2641"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2221"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2142"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2431"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Não","7233"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Não","7223"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Não","8332"
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Não",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Não",NA
"2022","4","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
