year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,CBO Ocupação 2002,total
2018,1,113005,1151.65,Cacique,113005,1
2018,1,113010,2360.17,Lider de Comunidade Caicara,113010,8
2018,1,113015,3523.81,Membro de Lideranca Quilombola,113015,4
2018,1,114205,8543.7,Dirigentes de Entidades de Trabalhadores,114205,303
2018,1,114210,18540.56,Dirigentes de Entidades Patronais,114210,8
2018,1,114305,12201.59,Dirigente e Administrador de Organizacao Religiosa,114305,100
2018,1,114405,29912.32,Dirigente e Administrador de Organizacao da Sociedade Civil sem Fins Lucrativos,114405,28
2018,1,121005,27850.41,Diretor de Planejamento Estrategico,121005,683
2018,1,121010,43276.18,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),121010,2642
2018,1,122105,38328.2,Diretor de Producao e Operacoes em Empresa Agropecuaria,122105,28
2018,1,122110,37165.52,Diretor de Producao e Operacoes em Empresa Aquicola,122110,3
2018,1,122115,48186.53,Diretor de Producao e Operacoes em Empresa Florestal,122115,15
2018,1,122120,36962.13,Diretor de Producao e Operacoes em Empresa Pesqueira,122120,1
2018,1,122205,38460.17,"Diretor de Producao e Operacoes da Industria de Transformacao, Extracao Mineral e Utilidades",122205,205
2018,1,122305,31383.1,Diretor de Operacoes de Obras Publica e Civil,122305,164
2018,1,122405,30213.21,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),122405,405
2018,1,122505,31172.82,Diretor de Producao e Operacoes de Alimentacao,122505,62
2018,1,122510,31124.74,Diretor de Producao e Operacoes de Hotel,122510,10
2018,1,122515,9654.46,Diretor de Producao e Operacoes de Turismo,122515,42
2018,1,122520,3362.09,Turismologo,122520,58
2018,1,122605,6139.58,Diretor de Operacoes de Correios,122605,22
2018,1,122610,35931.6,Diretor de Operacoes de Servicos de Armazenamento,122610,44
2018,1,122615,22281.32,Diretor de Operacoes de Servicos de Telecomunicacoes,122615,233
2018,1,122620,23695.24,Diretor de Operacoes de Servicos de Transporte,122620,137
2018,1,122705,34817.23,Diretor Comercial em Operacoes de Intermediacao Financeira,122705,240
2018,1,122710,45136.04,Diretor de Produtos Bancarios,122710,319
2018,1,122715,3472.9,Diretor de Credito Rural,122715,1
2018,1,122720,34089.97,Diretor de Cambio e Comercio Exterior,122720,22
2018,1,122725,32704.99,Diretor de Compliance,122725,198
2018,1,122730,43376.32,Diretor de Credito (Exceto Credito Imobiliario),122730,21
2018,1,122735,8769.11,Diretor de Credito Imobiliario,122735,11
2018,1,122740,34831.75,Diretor de Leasing,122740,4
2018,1,122745,41619.9,Diretor de Mercado de Capitais,122745,55
2018,1,122750,26387.63,Diretor de Recuperacao de Creditos em Operacoes de Intermediacao Financeira,122750,13
2018,1,122755,40101.02,Diretor de Riscos de Mercado,122755,141
2018,1,123105,16548.38,Diretor Administrativo,123105,9931
2018,1,123110,31164.1,Diretor Administrativo e Financeiro,123110,1533
2018,1,123115,37393.19,Diretor Financeiro,123115,1350
2018,1,123205,38987.19,Diretor de Recursos Humanos,123205,727
2018,1,123210,37707.28,Diretor de Relacoes de Trabalho,123210,32
2018,1,123305,37990.18,Diretor Comercial,123305,3922
2018,1,123310,37499.72,Diretor de Marketing,123310,898
2018,1,123405,37284.85,Diretor de Suprimentos,123405,295
2018,1,123410,13005.09,Diretor de Suprimentos no Servico Publico,123410,6
