year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,total
2018,1,121005,13092.56,Diretor de Planejamento Estrategico,4
2018,1,121010,45310.93,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),13
2018,1,122405,17132.22,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),2
2018,1,122615,8446.57,Diretor de Operacoes de Servicos de Telecomunicacoes,3
2018,1,122705,31735.29,Diretor Comercial em Operacoes de Intermediacao Financeira,2
2018,1,122725,1200,Diretor de Compliance,1
2018,1,122750,47670.15,Diretor de Recuperacao de Creditos em Operacoes de Intermediacao Financeira,1
2018,1,122755,1102.76,Diretor de Riscos de Mercado,1
2018,1,123105,18087.16,Diretor Administrativo,26
2018,1,123110,22837.3,Diretor Administrativo e Financeiro,6
2018,1,123115,27262.35,Diretor Financeiro,4
2018,1,123205,17387.23,Diretor de Recursos Humanos,5
2018,1,123305,18317.77,Diretor Comercial,18
2018,1,123310,30681.27,Diretor de Marketing,6
2018,1,123405,5637.45,Diretor de Suprimentos,2
2018,1,123410,4137.93,Diretor de Suprimentos no Servico Publico,1
2018,1,123605,25858.49,Diretor de Servicos de Informatica,8
2018,1,123705,9312.49,Diretor de Pesquisa e Desenvolvimento (P&D),1
2018,1,123805,23512.74,Diretor de Manutencao,2
2018,1,131105,5192.5,Diretor de Servicos Culturais,2
2018,1,131110,2546.13,Diretor de Servicos Sociais,1
2018,1,131115,4977.12,Gerente de Servicos Culturais,17
2018,1,131120,7463.68,Gerente de Servicos Sociais,13
2018,1,131205,30331.52,Diretor de Servicos de Saude,6
2018,1,131210,10322.79,Gerente de Servicos de Saude,9
2018,1,131215,2037.13,Tecnólogo em Gestão Hospitalar,2
2018,1,131305,9556.47,Diretor de Instituicao Educacional da Area Privada,10
2018,1,131310,4007.44,Diretor de Instituicao Educacional Publica,11
2018,1,131315,3300.02,Gerente de Instituicao Educacional da Area Privada,2
2018,1,141205,9593.2,Gerente de Producao e Operacoes,44
