year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,total
2019,1,113010,2547.66,Lider de Comunidade Caicara,1
2019,1,114205,6389.84,Dirigentes de Entidades de Trabalhadores,19
2019,1,114305,15137.31,Dirigente e Administrador de Organizacao Religiosa,5
2019,1,114405,9586.17,Dirigente e Administrador de Organizacao da Sociedade Civil sem Fins Lucrativos,23
2019,1,121005,25325.02,Diretor de Planejamento Estrategico,207
2019,1,121010,42294.72,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),566
2019,1,122105,48683.97,Diretor de Producao e Operacoes em Empresa Agropecuaria,5
2019,1,122110,17238,Diretor de Producao e Operacoes em Empresa Aquicola,1
2019,1,122115,21492.6,Diretor de Producao e Operacoes em Empresa Florestal,3
2019,1,122205,40578.03,"Diretor de Producao e Operacoes da Industria de Transformacao, Extracao Mineral e Utilidades",36
2019,1,122305,37313.88,Diretor de Operacoes de Obras Publica e Civil,41
2019,1,122405,31513.58,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),88
2019,1,122505,29235.07,Diretor de Producao e Operacoes de Alimentacao,13
2019,1,122515,19577.97,Diretor de Producao e Operacoes de Turismo,12
2019,1,122520,2720.09,Turismologo,42
2019,1,122605,3316.15,Diretor de Operacoes de Correios,4
2019,1,122610,38894.42,Diretor de Operacoes de Servicos de Armazenamento,9
2019,1,122615,26176,Diretor de Operacoes de Servicos de Telecomunicacoes,53
2019,1,122620,18649.73,Diretor de Operacoes de Servicos de Transporte,28
2019,1,122705,28155.5,Diretor Comercial em Operacoes de Intermediacao Financeira,50
2019,1,122710,48940.18,Diretor de Produtos Bancarios,50
2019,1,122720,19855.17,Diretor de Cambio e Comercio Exterior,3
2019,1,122725,31564.38,Diretor de Compliance,62
2019,1,122730,33111.39,Diretor de Credito (Exceto Credito Imobiliario),5
2019,1,122735,9610.61,Diretor de Credito Imobiliario,9
2019,1,122745,30653.35,Diretor de Mercado de Capitais,10
2019,1,122755,42794.5,Diretor de Riscos de Mercado,26
2019,1,123105,23444.15,Diretor Administrativo,1377
2019,1,123110,29186.08,Diretor Administrativo e Financeiro,353
2019,1,123115,38380.77,Diretor Financeiro,307
2019,1,123205,36804.6,Diretor de Recursos Humanos,171
2019,1,123210,23953.88,Diretor de Relacoes de Trabalho,9
2019,1,123305,36505,Diretor Comercial,842
2019,1,123310,34906.07,Diretor de Marketing,215
2019,1,123405,36056.57,Diretor de Suprimentos,78
2019,1,123605,33722.14,Diretor de Servicos de Informatica,232
2019,1,123705,32816.55,Diretor de Pesquisa e Desenvolvimento (P&D),73
2019,1,123805,28358.31,Diretor de Manutencao,31
2019,1,131105,12155.86,Diretor de Servicos Culturais,48
2019,1,131110,5637.4,Diretor de Servicos Sociais,91
2019,1,131115,8133.06,Gerente de Servicos Culturais,452
2019,1,131120,6217.42,Gerente de Servicos Sociais,302
2019,1,131205,18754.96,Diretor de Servicos de Saude,151
2019,1,131210,12548.55,Gerente de Servicos de Saude,649
2019,1,131215,6568.97,Tecnólogo em Gestão Hospitalar,7
2019,1,131305,9291.91,Diretor de Instituicao Educacional da Area Privada,600
2019,1,131310,7189.78,Diretor de Instituicao Educacional Publica,489
2019,1,131315,9039.27,Gerente de Instituicao Educacional da Area Privada,68
2019,1,131320,10230.44,Gerente de Servicos Educacionais da Area Publica,29
2019,1,141105,5604.75,Gerente de Producao e Operacoes  Aquicolas,12
2019,1,141110,6327.84,Gerente de Producao e Operacoes  Florestais,9
2019,1,141115,4644.73,Gerente de Producao e Operacoes Agropecuarias,8
2019,1,141120,5832.07,Gerente de Producao e Operacoes Pesqueiras,3
2019,1,141205,10148.31,Gerente de Producao e Operacoes,1118
2019,1,141305,11065.93,Gerente de Producao e Operacoes da Construcao Civil e Obras Publicas,551
2019,1,141405,1974.22,Comerciante Atacadista,360
2019,1,141410,2895.69,Comerciante Varejista,2205
2019,1,141415,4021.51,Gerente de Loja e Supermercado,6420
2019,1,141420,7836.96,Gerente de Operacoes de Servicos de Assistencia Tecnica,251
2019,1,141505,8554.02,Gerente de Hotel,123
2019,1,141510,3133.97,Gerente de Restaurante,3802
2019,1,141515,2748.27,Gerente de Bar,928
2019,1,141520,3232.78,Gerente de Pensao,4
2019,1,141525,8088.91,Gerente de Turismo,52
2019,1,141605,7921.56,Gerente de Operacoes de Transportes,368
2019,1,141610,12439.61,Gerente de Operacoes de Correios e Telecomunicacoes,115
2019,1,141615,9696.83,Gerente de Logistica (Armazenagem e Distribuicao),702
2019,1,141705,20380.42,Gerente de Produtos Bancarios,627
2019,1,141710,12503.28,Gerente de Agencia,986
2019,1,141715,12484.55,Gerente de Cambio e Comercio Exterior,85
2019,1,141720,14945.54,Gerente de Credito e Cobranca,233
2019,1,141725,9396.28,Gerente de Credito Imobiliario,29
2019,1,141730,2439.47,Gerente de Credito Rural,2
2019,1,141735,10633.76,Gerente de Recuperacao de Credito,76
