Ano,month,total_de_profissionais,avg_teleworkable_score,weighted_avg_teleworkable_score
2018,1,3051484,0.36181956,0.36339526
2018,2,3068425,0.36181956,0.36369664
2018,3,3079446,0.36181956,0.36372766
2018,4,3295346,0.36407081,0.41549845
2018,5,3295132,0.36407081,0.41557943
2018,6,3296792,0.36407081,0.41540652
2018,7,2965685,0.35974609,0.40137818
2018,8,2978701,0.35974609,0.4020335
2018,9,2991768,0.35974609,0.40156706
2018,10,3352057,0.36872817,0.35819571
2018,11,3364893,0.36872817,0.3579288
2018,12,3332221,0.36872817,0.36020021
2019,1,858358,0.32379323,0.36077732
2019,2,812618,0.32379323,0.35769258
2019,3,746871,0.32379323,0.35558231
2019,4,594897,0.36034764,0.40965375
2019,5,528036,0.36100521,0.41095975
2019,6,465342,0.36100521,0.4067765
2019,7,418107,0.36059388,0.38012781
2019,8,347315,0.36439628,0.37330322
2019,9,272355,0.36764407,0.36574439
2019,10,201585,0.35897745,0.39330273
2019,11,112882,0.35731836,0.38249093
2020,1,836661,0.3217919,0.34021535
2020,2,790992,0.3217919,0.33309173
2020,3,701032,0.3217919,0.33525091
2020,4,544028,0.35709541,0.37778499
2020,5,481256,0.35709541,0.37148949
2020,6,422518,0.36299239,0.36830841
2020,7,389397,0.36453147,0.343663
2020,8,338161,0.36299542,0.33201678
2020,9,269708,0.36299542,0.32455138
2020,10,203217,0.31885006,0.34967714
2020,11,117446,0.3273421,0.33391688
2021,1,881687,0.31897999,0.32678212
2021,2,846227,0.31897999,0.32210664
2021,3,794038,0.32019515,0.31854153
2021,4,708487,0.34911932,0.36770306
2021,5,638035,0.3482905,0.36367799
2021,6,575554,0.34901858,0.35920986
2021,7,466118,0.38499799,0.40912918
2021,8,398390,0.38575437,0.39916533
2021,9,314753,0.38575437,0.38957146
2021,10,244847,0.40950754,0.3558675
2021,11,144779,0.37248644,0.33932712
