Distritos SP;Ano;trimestre;total_de_profissionais;avg_teleworkable_score;weighted_avg_teleworkable_score
A ALVIM;2018;1;3684;0.335;0.267
A ALVIM;2018;2;3530;0.28;0.285
A ALVIM;2018;3;3280;0.327;0.362
A ALVIM;2018;4;3723;0.335;0.327
A ALVIM;2019;1;3584;0.288;0.315
A ALVIM;2019;2;3193;0.346;0.346
A ALVIM;2019;3;3154;0.323;0.34
A ALVIM;2019;4;3580;0.37;0.382
A ALVIM;2020;1;3000;0.279;0.336
A ALVIM;2020;2;2956;0.318;0.335
A ALVIM;2020;3;2658;0.316;0.359
A ALVIM;2020;4;3045;0.358;0.392
A ALVIM;2021;1;3324;0.239;0.266
A ALVIM;2021;2;3029;0.285;0.316
A ALVIM;2021;3;3264;0.329;0.375
A ALVIM;2021;4;3376;0.332;0.39
A RASA;2018;1;23936;0.326;0.24
A RASA;2018;2;24804;0.336;0.279
A RASA;2018;3;22695;0.359;0.326
A RASA;2018;4;26798;0.359;0.28
A RASA;2019;1;24612;0.293;0.31
A RASA;2019;2;21272;0.326;0.318
A RASA;2019;3;22417;0.338;0.318
A RASA;2019;4;24092;0.336;0.354
A RASA;2020;1;23339;0.277;0.28
A RASA;2020;2;20139;0.318;0.293
A RASA;2020;3;20812;0.321;0.285
A RASA;2020;4;22826;0.312;0.319
A RASA;2021;1;24200;0.254;0.204
A RASA;2021;2;23836;0.284;0.269
A RASA;2021;3;21217;0.292;0.324
A RASA;2021;4;24115;0.349;0.302
ANHANGUERA;2018;1;1367;0.326;0.347
ANHANGUERA;2018;2;1414;0.344;0.411
ANHANGUERA;2018;3;1221;0.342;0.405
ANHANGUERA;2018;4;1377;0.341;0.389
ANHANGUERA;2019;1;1631;0.372;0.393
ANHANGUERA;2019;2;1736;0.36;0.35
ANHANGUERA;2019;3;1632;0.405;0.366
ANHANGUERA;2019;4;1690;0.401;0.451
ANHANGUERA;2020;1;1290;0.349;0.426
ANHANGUERA;2020;2;1308;0.396;0.402
ANHANGUERA;2020;3;1297;0.414;0.406
ANHANGUERA;2020;4;1321;0.363;0.482
ANHANGUERA;2021;1;1651;0.299;0.321
ANHANGUERA;2021;2;1395;0.371;0.414
ANHANGUERA;2021;3;1378;0.365;0.446
ANHANGUERA;2021;4;1654;0.407;0.394
ARICANDUVA;2018;1;19241;0.288;0.132
ARICANDUVA;2018;2;19723;0.302;0.188
ARICANDUVA;2018;3;18557;0.308;0.178
ARICANDUVA;2018;4;20580;0.298;0.143
ARICANDUVA;2019;1;14502;0.256;0.192
ARICANDUVA;2019;2;10079;0.326;0.283
ARICANDUVA;2019;3;13266;0.304;0.217
ARICANDUVA;2019;4;13956;0.332;0.252
