id,districts,year,total_professionals,avg_teleworkable_score,weighted_avg_teleworkable_score
4459, Água Rasa,2020,87116,0.306,0.294
4460, Alto de Pinheiros,2020,29510,0.385,0.42
4461, Anhanguera,2020,5216,0.379,0.429
4462, Aricanduva,2020,57476,0.319,0.234
4463, Artur Alvim,2020,11659,0.317,0.356
4464, Barra Funda,2020,201722,0.323,0.407
4465, Bela Vista,2020,353852,0.388,0.397
4466, Belém,2020,124921,0.389,0.332
4467, Bom Retiro,2020,132220,0.352,0.408
4468, Brás,2020,124004,0.33,0.369
4469, Brasilândia,2020,21016,0.319,0.305
4470, Butantã,2020,119736,0.327,0.316
4471, Cachoeirinha,2020,27115,0.301,0.353
4472, Cambuci,2020,80338,0.383,0.343
4473, Campo Belo,2020,80858,0.354,0.371
4474, Campo Grande,2020,91495,0.287,0.275
4475, Campo Limpo,2020,35792,0.298,0.327
4476, Cangaíba,2020,35283,0.311,0.26
4477, Capão Redondo,2020,28868,0.293,0.298
4478, Carrão,2020,47311,0.317,0.296
4479, Casa Verde,2020,104759,0.333,0.383
4480, Cidade Ademar,2020,65237,0.303,0.408
4481, Cidade Dutra,2020,62216,0.33,0.342
4482, Cidade Líder,2020,22623,0.345,0.29
4483, Cidade Tiradentes,2020,12443,0.305,0.227
4484, Consolação,2020,316201,0.387,0.326
4485, Cursino,2020,80579,0.312,0.358
4486, Ermelino Matarazzo,2020,77846,0.335,0.477
4487, Freguesia do Ó,2020,50571,0.303,0.265
4488, Grajaú,2020,37602,0.325,0.253
4489, Guaianases,2020,16431,0.312,0.402
4490, Moema,2020,187010,0.383,0.355
4491, Iguatemi,2020,10944,0.277,0.226
4492, Ipiranga,2020,190326,0.308,0.277
4493, Itaim Bibi,2020,778714,0.32,0.531
4494, Itaim Paulista,2020,34730,0.323,0.308
4495, Itaquera,2020,60781,0.394,0.354
4496, Jabaquara,2020,148783,0.323,0.396
4497, Jaçanã,2020,56178,0.298,0.2
4498, Jaguara,2020,57078,0.298,0.344
4499, Jaguaré,2020,150882,0.337,0.38
4500, Jaraguá,2020,25456,0.272,0.246
4501, Jardim Ângela,2020,28375,0.278,0.287
4502, Jardim Helena,2020,22409,0.335,0.273
4503, Jardim Paulista,2020,273050,0.379,0.434
4504, Jardim São Luís,2020,95326,0.319,0.465
4505, José Bonifácio,2020,38131,0.3,0.196
4506, Lapa,2020,263546,0.322,0.313
4507, Liberdade,2020,106849,0.334,0.491
4508, Limão,2020,45589,0.319,0.259
4509, Mandaqui,2020,48918,0.344,0.38
4510, Marsilac,2020,11128,0.311,0.225
4511, Mooca,2020,131435,0.366,0.25
4512, Morumbi,2020,169846,0.327,0.245
4513, Parelheiros,2020,26829,0.309,0.158
4514, Pari,2020,58125,0.334,0.265
4515, Parque do Carmo,2020,112552,0.303,0.244
4516, Pedreira,2020,18739,0.31,0.238
4517, Penha,2020,70484,0.304,0.289
4518, Perdizes,2020,81408,0.319,0.382
4519, Perus,2020,10985,0.253,0.336
4520, Pinheiros,2020,291581,0.333,0.546
4521, Pirituba,2020,105689,0.344,0.496
4522, Ponte Rasa,2020,19293,0.305,0.288
4523, Raposo Tavares,2020,32701,0.296,0.264
4524, República,2020,231025,0.329,0.426
4525, Rio Pequeno,2020,91287,0.311,0.311
4526, Sacomã,2020,96374,0.303,0.316
4527, Santa Cecília,2020,123794,0.339,0.437
4528, Santana,2020,139750,0.343,0.333
4529, Santo Amaro,2020,358302,0.31,0.481
4530, São Lucas,2020,34472,0.285,0.26
4531, São Mateus,2020,58027,0.273,0.326
4532, São Miguel,2020,24919,0.324,0.352
4533, São Rafael,2020,34983,0.318,0.285
4534, Sapopemba,2020,109728,0.292,0.383
4535, Saúde,2020,1203654,0.332,0.531
4536, Sé,2020,625657,0.397,0.467
4537, Socorro,2020,115067,0.297,0.28
4538, Tatuapé,2020,172046,0.301,0.289
4539, Tremembé,2020,19147,0.32,0.349
4540, Tucuruvi,2020,33360,0.326,0.355
4541, Vila Andrade,2020,64015,0.316,0.363
4542, Vila Curuçá,2020,18501,0.318,0.381
4543, Vila Formosa,2020,48881,0.308,0.341
4544, Vila Guilherme,2020,109593,0.326,0.475
4545, Vila Jacuí,2020,22821,0.267,0.325
4546, Vila Leopoldina,2020,144121,0.317,0.379
4547, Vila Maria,2020,194773,0.32,0.309
4548, Vila Mariana,2020,297878,0.325,0.322
4549, Vila Matilde,2020,81695,0.307,0.319
4550, Vila Medeiros,2020,29198,0.275,0.346
4551, Vila Prudente,2020,69067,0.327,0.303
4552, Vila Sônia,2020,59069,0.289,0.306
4553, São Domingos,2020,234811,0.324,0.46
4554, Lajeado,2020,89235,0.335,0.334
