Distritos SP,Ano,total_de_profissionais,avg_teleworkable_score,weighted_avg_teleworkable_score
A ALVIM,2021,12993,0.295,0.337
A RASA,2021,93368,0.296,0.273
ANHANGUERA,2021,6078,0.361,0.39
ARICANDUVA,2021,69264,0.313,0.226
AT PINHEIRO,2021,33598,0.36,0.475
B FUNDA,2021,192965,0.399,0.427
B RETIRO,2021,133889,0.403,0.451
B VISTA,2021,337715,0.395,0.441
BELEM,2021,143798,0.406,0.372
BRAS,2021,124592,0.338,0.315
BRASILANDIA,2021,23814,0.353,0.313
BUTANTA,2021,111686,0.321,0.354
C ADEMAR,2021,75171,0.328,0.398
C DUTRA,2021,67988,0.302,0.327
C LIDER,2021,28688,0.321,0.269
C REDONDO,2021,34003,0.306,0.334
C TIRADENTE,2021,13823,0.338,0.276
C VERDE,2021,111632,0.324,0.411
CAMBUCI,2021,104773,0.406,0.365
CANGAIBA,2021,40201,0.313,0.219
CARRAO,2021,60763,0.305,0.288
CONSOLACAO,2021,319264,0.397,0.376
CPO BELO,2021,88005,0.352,0.403
CPO GRANDE,2021,99565,0.319,0.261
CPO LIMPO,2021,36677,0.322,0.315
CURSINO,2021,89759,0.324,0.372
E MATARAZZO,2021,105734,0.395,0.53
FREGUESIA D,2021,58041,0.299,0.264
GRAJAU,2021,39583,0.283,0.224
GUAIANAZES,2021,17229,0.348,0.389
IGUATEMI,2021,13883,0.302,0.198
IPIRANGA,2021,204243,0.319,0.302
ITAIM BIBI,2021,832643,0.384,0.541
ITAIM PAULI,2021,41522,0.33,0.315
ITAQUERA,2021,63939,0.408,0.42
J BONIFACIO,2021,48004,0.329,0.179
JABAQUARA,2021,182842,0.303,0.436
JACANA,2021,57192,0.3,0.202
JAGUARA,2021,65047,0.299,0.347
JAGUARE,2021,199155,0.355,0.383
JARAGUA,2021,29651,0.282,0.217
JD ANGELA,2021,24997,0.302,0.32
JD HELENA,2021,24618,0.308,0.219
JD PAULISTA,2021,280121,0.402,0.468
LAJEADO,2021,94746,0.344,0.451
LAPA,2021,289655,0.333,0.336
LIBERDADE,2021,97393,0.362,0.459
LIMAO,2021,61037,0.318,0.276
MANDAQUI,2021,55355,0.359,0.36
MARSILAC,2021,13516,0.287,0.259
MOEMA,2021,197625,0.324,0.364
MOOCA,2021,145061,0.393,0.269
MORUMBI,2021,168972,0.308,0.273
N CACHOEIRI,2021,30578,0.364,0.373
PARELHEIROS,2021,24881,0.322,0.2
PARI,2021,62323,0.345,0.231
PEDREIRA,2021,21304,0.33,0.261
PENHA,2021,73901,0.333,0.296
PERDIZES,2021,85263,0.326,0.38
PERUS,2021,11671,0.259,0.311
PINHEIROS,2021,348036,0.339,0.596
PIRITUBA,2021,121102,0.352,0.446
PRQ CARMO,2021,129796,0.315,0.266
PTE RASA,2021,52928,0.347,0.209
R PEQUENO,2021,76156,0.324,0.382
R TAVARES,2021,40228,0.326,0.228
REPUBLICA,2021,217535,0.402,0.429
S AMARO,2021,334160,0.337,0.475
S CECILIA,2021,127358,0.37,0.469
S DOMINGOS,2021,299523,0.343,0.409
S LUCAS,2021,41743,0.305,0.228
S LUIS,2021,101855,0.34,0.432
S MATEUS,2021,63549,0.312,0.289
S MIGUEL,2021,29902,0.318,0.298
S RAFAEL,2021,39473,0.334,0.243
SACOMA,2021,113365,0.388,0.31
SANTANA,2021,138421,0.347,0.364
SAPOPEMBA,2021,120641,0.304,0.383
SAUDE,2021,1202784,0.341,0.599
SE,2021,681540,0.37,0.575
SOCORRO,2021,139209,0.299,0.29
TATUAPE,2021,195973,0.332,0.327
TREMEMBE,2021,21581,0.309,0.364
TUCURUVI,2021,37039,0.349,0.336
VL ANDRADE,2021,67506,0.325,0.359
VL CURUCA,2021,17637,0.322,0.303
VL FORMOSA,2021,52170,0.332,0.312
VL GUILHERM,2021,120263,0.348,0.47
VL JACUI,2021,23167,0.253,0.292
VL LEOPOLDI,2021,167371,0.337,0.394
VL MARIA,2021,208066,0.309,0.318
VL MARIANA,2021,272556,0.34,0.378
VL MATILDE,2021,95388,0.31,0.327
VL MEDEIROS,2021,34623,0.253,0.321
VL PRUDENTE,2021,74295,0.35,0.315
VL SONIA,2021,64468,0.295,0.297
