quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,18/01/2018,20,2,1,1,0,315000,15750,,5.059627651,,,,,,11.8912313,51.3125,35,0.07
1,2018,19/01/2018,20,3,0,2,1,178500,8925,,4.327646622,,,,,,14.0595288,41.1875,71,0.073
1,2018,19/01/2018,20,3,0,2,1,207200,10360,,4.327646622,,,,,,14.0595288,41.1875,71,0.073
1,2018,19/01/2018,20,3,0,2,1,212800,10640,,4.327646622,,,,,,14.0595288,41.1875,71,0.073
1,2018,18/01/2018,20,2,0,1,2,294000,14700,,4.885984714,,,,,,14.6627402,41.1875,71,0.073
1,2018,18/01/2018,20,3,1,2,2,408100,20405,0,5.918461694,,,,,,12.2584149,51.3125,35,0.07
1,2018,17/01/2018,23,1,0,1,0,132300,5752.17,154,0.454362717,,,,,,6.8469326,57.75,21,0.32
1,2018,17/01/2018,25,1,1,1,1,322053,12882.12,0,1.717662719,,,,,,0.8280035,61.78125,15,0.174
1,2018,20/01/2018,25,1,1,1,1,224000,8960,0,1.643757769,,,,,,0.7964997,61.78125,15,0.174
1,2018,11/01/2018,26,1,0,1,1,244999,9423.04,145,0.580734846,,,,,,3.2544006,75.40625,2,0.093
1,2018,12/01/2018,28,1,1,1,1,189000,6750,1190,0.333593154,,,,,,4.0271754,75.40625,2,0.093
1,2018,30/01/2018,28,1,0,1,1,234499,8374.96,,0.152390494,,,,,,4.44703,78.21875,1,0.066
1,2018,17/01/2018,28,1,0,1,1,251999,8999.96,0,0.152390494,,,,,,4.44703,78.21875,1,0.066
1,2018,17/01/2018,28,1,0,1,1,257599,9199.96,0,0.152390494,,,,,,4.44703,78.21875,1,0.066
1,2018,20/01/2018,29,1,1,1,1,371000,12793.1,0,2.403258632,,,,,,0.0427226,61.78125,15,0.174
1,2018,26/01/2018,29,1,1,1,1,189000,6517.24,1186,1.367924978,,,,,,6.0101133,70.0625,6,0.079
1,2018,24/01/2018,30,1,1,1,1,182000,6066.67,0,0.444850842,,,,,,2.3851312,71.0625,4,0.087
1,2018,16/01/2018,30,1,0,1,1,210000,7000,770,0.281138363,,,,,,2.596416,71.0625,4,0.087
1,2018,16/01/2018,30,1,1,1,1,208600,6953.33,909,0.423283715,,,,,,2.2589833,71.0625,4,0.087
1,2018,23/01/2018,30,1,0,1,0,161000,5366.67,215,0.470706096,,,,,,5.9985379,78.21875,1,0.066
1,2018,05/01/2018,30,1,0,1,0,178500,5950,0,0.411140093,,,,,,7.3278235,59.59375,19,0.115
1,2018,09/01/2018,30,1,0,1,1,280000,9333.33,944,0.387684665,,,,,,3.9559743,75.40625,2,0.093
1,2018,29/01/2018,31,1,1,1,1,220500,7112.9,0,0.430368711,,,,,,2.235005,71.0625,4,0.087
1,2018,14/01/2018,31,1,0,1,1,389200,12554.84,0,0.569696891,,,,,,4.8884882,78.21875,1,0.066
1,2018,30/01/2018,31,1,0,1,1,384090,12390,0,0.852140161,,,,,,3.4330066,75.40625,2,0.093
1,2018,23/01/2018,34,1,1,1,1,234919,6909.38,0,1.738947656,,,,,,2.5016877,61.78125,15,0.174
1,2018,24/01/2018,35,1,0,1,1,230999,6599.97,686,2.52778606,,,,,,0.8296108,61.78125,15,0.174
1,2018,30/01/2018,35,1,0,1,1,294000,8400,0,0.580832417,,,,,,5.6488998,78.21875,1,0.066
1,2018,07/01/2018,36,1,0,1,0,199955,5554.31,210,0.242452187,,,,,,6.5482192,64.3125,11,0.087
1,2018,09/01/2018,36,1,0,1,1,182000,5055.56,182,1.982670508,,,,,,7.2404407,57.46875,22,0.186
1,2018,13/01/2018,36,1,0,1,1,237299,6591.64,420,0.473578775,,,,,,5.2834604,67.75,8,0.099
1,2018,31/01/2018,37,1,0,1,1,359800,9724.32,0,1.069494897,,,,,,3.5148329,47.65625,47,0.092
1,2018,26/01/2018,37,1,1,1,1,237999,6432.41,0,0.950263107,,,,,,6.4857912,70.0625,6,0.079
1,2018,09/01/2018,38,1,1,1,1,266000,7000,1120,0.053391547,,,,,,2.4020931,71.0625,4,0.087
1,2018,17/01/2018,39,1,1,1,0,463946,11896.05,0,1.696864877,,,,,,0.8987694,61.78125,15,0.174
1,2018,16/01/2018,39,1,0,1,1,645820,16559.49,388,1.654415393,,,,,,0.7897746,61.78125,15,0.174
1,2018,22/01/2018,39,1,0,1,1,263900,6766.67,237,0.590620407,,,,,,5.8921744,59.59375,19,0.115
1,2018,12/01/2018,40,1,1,1,1,420000,10500,1050,0.99587915,,,,,,3.2473705,75.40625,2,0.093
1,2018,13/01/2018,40,1,1,1,1,308000,7700,0,0.499643337,,,,,,3.4433292,75.40625,2,0.093
1,2018,13/01/2018,40,1,0,1,1,336000,8400,0,0.499643337,,,,,,3.4433292,75.40625,2,0.093
1,2018,11/01/2018,40,1,1,1,1,308000,7700,923,0.97566906,,,,,,1.5307064,71.0625,4,0.087
1,2018,23/01/2018,40,1,0,1,1,258999,6474.98,280,0.431081431,,,,,,5.6463873,78.21875,1,0.066
1,2018,03/01/2018,40,1,0,1,1,276500,6912.5,735,0.467934167,,,,,,2.5803387,71.0625,4,0.087
1,2018,31/01/2018,40,1,1,2,1,266000,6650,420,2.954856672,,,,,,7.3096066,27.5,95,0.041
1,2018,27/01/2018,41,1,0,1,1,275100,6709.76,385,1.835740832,,,,,,11.8427785,54.6875,26,0.098
1,2018,22/01/2018,42,1,0,1,1,210000,5000,266,2.71507827,,,,,,12.5648487,50.4375,36,0.063
1,2018,28/01/2018,43,1,,1,,280000,6511.63,280,0.587220795,,,,,,5.9151319,59.59375,19,0.115
