date;area_m2;bedrooms;suite;bathrooms;garage;price_real_month;price_m2;condo_real;metro_dist_km;gym;field_quadra;elevator;furnished;swimming_pool;delta_cbd_farialima;inequality_meter;inequality_rank;teleworkable
11/09/2018;185;1;1;1;2;3360;18.16216216;1330;0.481106295;;;;;;5.319656388;78.21875;1;0.096
28/08/2019;139;3;1;3;1;4300;30.9352518;1080;0.410169985;0;0;0;0;0;4.426207568;66.15625;4;0.241
10/01/2019;70;3;0;1;1;1700;24.28571429;460;0.588088525;0;0;0;0;0;5.566527938;66.15625;4;0.213
24/01/2019;35;1;0;1;1;1500;42.85714286;0;0.931910902;0;0;0;0;0;5.548942861;57.8;15;0.369
01/04/2020;60;2;0;1;1;2800;46.66666667;0;0.931910902;0;0;0;0;0;5.548942861;47.03125;49;0.312
22/12/2018;150;3;2;3;1;3045;20.3;474;1.422620556;;;;;;11.48166757;54.6875;26;0.184
08/01/2019;67;1;0;1;1;1610;24.02985075;361;1.416505479;;;;;;11.57134771;48.84375;45;0.139
01/04/2020;45;1;0;1;0;1500;33.33333333;462;0.394886028;0;0;1;0;0;6.535569759;54.875;24;0.237
01/01/2020;70;3;0;2;1;2500;35.71428571;1088;0.394886028;0;0;0;0;0;6.535569759;54.875;24;0.218
18/12/2019;70;3;0;2;1;2500;35.71428571;1088;0.394886028;0;0;0;0;0;6.535569759;63.1875;10;0.28
16/06/2021;41;1;0;1;1;2500;60.97560976;0;0.442476936;0;0;0;0;0;6.565284049;58.71875;17;0.245
13/11/2021;35;1;0;1;1;1750;50;0;0.409304474;0;0;0;0;0;6.565231028;58.71875;17;0.201
23/02/2021;121;3;0;3;1;3200;26.44628099;0;0.461477954;0;0;0;0;0;6.499272418;58.71875;17;0.24
19/05/2019;96;2;0;2;0;2400;25;1210;0.442069108;0;0;0;0;0;6.530848032;63.1875;10;0.226
11/12/2019;45;1;0;1;0;1800;40;0;0.524548699;0;0;0;0;0;7.107816765;63.1875;10;0.28
09/02/2021;37;1;0;1;1;2400;64.86486486;800;0.577979216;1;0;1;1;1;3.679639519;59.7;11;0.233
16/10/2018;42;1;0;1;1;1316;31.33333333;770;0.36358836;;;;;;4.357012666;67.75;8;0.201
14/02/2019;40;1;0;1;1;1386;34.65;630;0.36358836;;;;;;4.357012666;66.15625;4;0.213
06/07/2018;30;1;0;1;1;1120;37.33333333;840;0.36358836;;;;;;4.357012666;67.75;8;0.111
18/02/2019;35;1;1;1;1;1330;38;770;0.36358836;;;;;;4.357012666;66.15625;4;0.213
19/10/2018;37;1;1;1;1;1456;39.35135135;1092;0.36358836;;;;;;4.357012666;67.75;8;0.201
11/10/2018;36;1;0;1;1;1442;40.05555556;581;0.36358836;;;;;;4.357012666;67.75;8;0.201
21/06/2018;35;1;0;1;1;1959;55.97142857;700;0.36358836;;;;;;4.357012666;67.75;8;0.251
21/06/2018;35;1;0;1;1;1973;56.37142857;770;0.36358836;;;;;;4.357012666;67.75;8;0.251
21/11/2018;126;3;1;3;1;4550;36.11111111;700;0.865851196;;;;;;3.37509188;75.40625;2;0.173
03/10/2018;33;1;1;1;1;752;22.78787879;1159;0.971051422;;;;;;3.26611739;75.40625;2;0.173
14/02/2019;30;1;1;1;1;944;31.46666667;1014;0.971051422;;;;;;3.26611739;65.76666667;6;0.201
15/08/2018;30;1;1;1;1;944;31.46666667;1014;0.971051422;;;;;;3.26611739;75.40625;2;0.112
17/08/2018;33;1;1;1;1;1050;31.81818182;909;0.971051422;;;;;;3.26611739;75.40625;2;0.112
08/08/2018;33;1;1;1;1;1167;35.36363636;1079;0.971051422;;;;;;3.26611739;75.40625;2;0.112
22/08/2018;33;1;1;1;1;1225;37.12121212;979;0.971051422;;;;;;3.26611739;75.40625;2;0.112
18/01/2019;33;1;1;1;1;1260;38.18181818;735;0.971051422;;;;;;3.26611739;65.76666667;6;0.201
12/10/2018;33;1;1;1;1;1351;40.93939394;840;0.971051422;;;;;;3.26611739;75.40625;2;0.173
23/01/2019;33;1;0;1;1;1400;42.42424242;700;0.971051422;;;;;;3.26611739;65.76666667;6;0.201
17/08/2018;33;1;1;1;1;1400;42.42424242;700;0.971051422;;;;;;3.26611739;75.40625;2;0.112
11/12/2018;35;1;1;1;1;1540;44;770;0.971051422;;;;;;3.26611739;75.40625;2;0.173
07/08/2018;36;1;0;1;1;1610;44.72222222;770;0.971051422;;;;;;3.26611739;75.40625;2;0.112
