date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
06/11/2021,2021,4,2000000,83,1,1,2,2,24096.38554,900,0.546227808,1,1,1,1,1,2.7472337,67.9375,1,0.292
13/12/2021,2021,4,1900000,85,2,2,3,2,22352.94118,1350,2.243426754,1,0,1,1,1,1.3162728,67.9375,1,0.292
28/08/2021,2021,3,1749000,82,2,2,2,1,21329.26829,1020,1.187725498,1,0,1,0,1,1.3106594,67.9375,1,0.426
10/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
11/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
17/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
23/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
24/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
01/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
03/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
10/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
17/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
30/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
06/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
14/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
16/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
23/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
