date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
19/05/2019,2019,2,3600000,144,2,2,3,2,25000,1800,2.116906794,0,0,0,0,0,0.7931311,62.5,11,0.308
26/05/2019,2019,2,3600000,144,2,2,3,2,25000,1800,2.116906794,0,0,0,0,0,0.7931311,62.5,11,0.308
19/09/2021,2021,3,3900000,160,3,1,4,2,24375,3000,1.531552457,0,0,1,0,0,1.5859048,59.875,10,0.468
29/11/2018,2018,4,3430000,141,3,3,3,2,24326.24113,1085,1.256900547,,,,,,1.2670888,71.0625,4,0.192
14/02/2019,2019,1,3430000,141,3,3,3,2,24326.24113,1085,1.256900547,,,,,,1.2670888,71.21875,2,0.183
20/04/2018,2018,2,14000000,580,3,3,3,3,24137.93103,6300,2.452301991,,,,,,0.6010641,61.78125,15,0.427
02/11/2019,2019,1,1085000,45,1,1,1,1,24111.11111,709,0.938924165,,,,,,1.5308128,71.21875,2,0.183
11/06/2021,2021,4,2000000,83,1,1,2,2,24096.38554,900,0.546227808,1,1,1,1,1,2.7472337,67.9375,1,0.292
15/02/2019,2019,1,1178800,49,1,0,1,1,24057.14286,0,1.975773075,,,,,,0.6057733,62.5,11,0.303
11/01/2018,2018,4,1176000,49,1,1,1,2,24000,1474,1.975773075,,,,,,0.6057733,61.78125,15,0.296
28/11/2018,2018,4,1097355,46,1,1,1,2,23855.54348,244,1.975773075,,,,,,0.6057733,61.78125,15,0.296
02/08/2018,2018,1,5040000,215,2,1,4,1,23441.86047,2660,1.395768121,,,,,,1.5471915,68.96875,7,0.135
24/01/2019,2019,1,2300000,100,2,2,3,2,23000,1792,1.965453199,0,0,0,0,0,0.9537799,62.5,11,0.303
07/01/2018,2018,3,1090058,48,1,1,2,2,22709.54167,0,1.975773075,,,,,,0.6057733,61.78125,15,0.181
20/12/2021,2021,4,3600000,160,3,1,4,2,22500,3200,1.531552457,0,0,1,0,0,1.5859048,59.875,10,0.284
08/10/2018,2018,3,1101296,49,1,1,1,1,22475.42857,560,1.817088334,,,,,,0.7072888,61.78125,15,0.181
13/12/2021,2021,4,1900000,85,2,2,3,2,22352.94118,1350,2.243426754,1,0,1,1,1,1.3162728,67.9375,1,0.292
18/02/2019,2019,1,1285200,58,1,1,1,1,22158.62069,,2.216278086,,,,,,0.3966462,62.5,11,0.303
16/03/2021,2021,1,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.142
23/03/2021,2021,1,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.142
30/03/2021,2021,1,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.142
04/10/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
04/11/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
17/04/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
23/04/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
24/04/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
05/01/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
05/03/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
05/10/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
17/05/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
30/05/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
06/06/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
14/06/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
16/06/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
23/06/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
30/06/2021,2021,2,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.15
07/01/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
07/08/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,0,0,1,0,0,2.1980807,65.28125,4,0.263
15/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
16/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
23/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
30/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
31/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
08/07/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
14/08/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
21/08/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
28/08/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
29/08/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
09/05/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
09/12/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
19/09/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
27/09/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
28/09/2021,2021,3,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.263
