link,date,title,address,area,rooms,bathrooms,garage,price,condo,suite,zone,district,characteristics,createdAt
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 101m² em Santo Amaro, São Paulo","Avenida Adolfo Pinheiro, 1850 - Santo Amaro, São Paulo - SP",101,2,2,1,2300,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 50m² em Chácara Santo Antônio, São Paulo","Rua Henri Dunant, 1066 - Chácara Santo Antônio, São Paulo - SP",50,1,1,1,4200,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 45m² em Chácara Santa Maria, São Paulo","Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",45,2,1,1,900,,,Zona Sul,Chácara Santa Maria,"[""Varanda"",""Armário na cozinha"",""Cozinha americana"",""Cozinha grande"",""Sala grande"",""Janela de alumínio"",""Ventilação natural""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Ponto Comercial para alugar, 30m² em Bela Vista, São Paulo","Avenida Paulista, 2001 - Bela Vista, São Paulo - SP",30,--,1,--,530,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 30m² em Vila Guilhermina, São Paulo","Rua Nova Aurora, 164 - Vila Guilhermina, São Paulo - SP",30,1,1,--,1350,150,,Zona Leste,Vila Guilhermina,"[""Elevador"",""Aceita animais"",""Área de serviço"",""Armário na cozinha"",""Conexão à internet"",""Cozinha americana"",""Acesso para deficientes"",""Box blindex"",""Portão eletrônico"",""Câmera de segurança""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 58m² em Bom Retiro, São Paulo","Rua Newton Prado - Bom Retiro, São Paulo - SP",58,2,1,1,1900,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 45m² em Bela Vista, São Paulo","Avenida Paulista, 1159 - Bela Vista, São Paulo - SP",45,--,2,--,2400,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 134m² em Vila Nova Conceição, São Paulo","Rua Diogo Jácome, 518 - Vila Nova Conceição, São Paulo - SP",134,2,4,2,19000,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Ponto Comercial para alugar, 10m² em Parque Edu Chaves, São Paulo","Avenida Edu Chaves, 764 - Parque Edu Chaves, São Paulo - SP",10,--,1,6,800,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 38m² em Campos Eliseos, São Paulo","Rua Doutor Carvalho de Mendonça, 251 - Campos Eliseos, São Paulo - SP",38,1,1,1,1700,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 40m² em Parada Inglesa, São Paulo","Rua Paulo de Avelar, 571 - Parada Inglesa, São Paulo - SP",40,1,1,--,881,,,Zona Norte,Parada Inglesa,"[""Condomínio fechado"",""Portão eletrônico""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 47m² em Americanópolis, São Paulo","Rua Carlos Facchina, 605 - Americanópolis, São Paulo - SP",47,1,1,1,1000,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Kitnet com 1 Quarto para alugar, 25m² em Ipiranga, São Paulo","Rua Cipriano Barata, 801 - Ipiranga, São Paulo - SP",25,1,1,--,900,,,Zona Sul,Ipiranga,"[""Portão eletrônico""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 50m² em Vila Mariana, São Paulo","Rua Vergueiro, 2253 - Vila Mariana, São Paulo - SP",50,--,2,1,3500,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 68m² em Parque Industrial Tomas Edson, São Paulo","Rua Adalberto Kemeny, 82 - Parque Industrial Tomas Edson, São Paulo - SP",68,2,2,1,2950,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 27m² em Bela Vista, São Paulo","Rua Artur Prado, 501 - Bela Vista, São Paulo - SP",27,1,1,--,1990,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 50m² em Vila Buarque, São Paulo","Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",50,2,1,1,2200,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 37m² em Brooklin, São Paulo","Rua Flórida - Brooklin, São Paulo - SP",37,1,1,1,3950,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 30m² em Jardim Paulista, São Paulo","Alameda Lorena, 131 - Jardim Paulista, São Paulo - SP",30,--,1,1,1500,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 30m² em Santo Amaro, São Paulo","Rua Manuel Borba, 163 - Santo Amaro, São Paulo - SP",30,--,1,--,1000,351,,Zona Sul,Santo Amaro,[],2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 60m² em Jardim Paulistano, São Paulo","Avenida Brigadeiro Faria Lima, 1912 - Jardim Paulistano, São Paulo - SP",60,--,1,1,4000,1200,,Zona Oeste,Jardim Paulistano,[],2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Kitnet com 1 Quarto para alugar, 30m² em Vila Pauliceia, São Paulo","Rua Joaquim Norberto, 390 - Vila Pauliceia, São Paulo - SP",30,1,1,--,1000,,,Zona Norte,Vila Pauliceia,[],2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 3 Quartos para alugar, 134m² em Vila Olímpia, São Paulo","Rua Alvorada, 896 - Vila Olímpia, São Paulo - SP",134,3,4,3,12500,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 81m² em Jardins, São Paulo","Rua Bela Cintra - Jardins, São Paulo - SP",81,2,2,1,4500,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sobrado com 2 Quartos para alugar, 80m² em Vila Maria, São Paulo","Rua Guaranésia, 680 - Vila Maria, São Paulo - SP",80,2,2,--,2100,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Kitnet com 1 Quarto para alugar, 25m² em Butantã, São Paulo","Rua Luís Ferreira de Barros, 109 - Butantã, São Paulo - SP",25,1,1,--,1400,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 105m² em Santa Ifigênia, São Paulo","Avenida Duque de Caxias, 186 - Santa Ifigênia, São Paulo - SP",105,2,1,--,1400,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 140m² em Consolação, São Paulo","Rua Frei Caneca, 640 - Consolação, São Paulo - SP",140,2,4,2,9500,950,2,Centro,Consolação,"[""Piscina"",""Mobiliado"",""Churrasqueira"",""Elevador"",""Academia"",""Aceita animais"",""Espaço gourmet"",""Ar-condicionado"",""Jardim"",""Playground"",""Varanda gourmet"",""Salão de festas"",""Quadra poliesportiva"",""Bicicletário"",""Portaria 24h"",""Closet"",""Cozinha americana"",""Cinema"",""Quadra de squash"",""Spa"",""Sauna"",""Coworking"",""Acesso para deficientes"",""Salão de jogos""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Ponto Comercial com 2 Quartos para alugar, 50m² em Perdizes, São Paulo","Rua Doutor Franco da Rocha, 477 - Perdizes, São Paulo - SP",50,2,--,--,3499,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 100m² em Bela Vista, São Paulo","Avenida Brigadeiro Luís Antônio, 290 - Bela Vista, São Paulo - SP",100,--,1,1,500,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 3 Quartos para alugar, 168m² em Perdizes, São Paulo","Rua Cotoxó - Perdizes, São Paulo - SP",168,3,3,4,8000,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Galpão/Depósito/Armazém para alugar, 100m² em Móoca, São Paulo","Rua da Figueira, 649 - Móoca, São Paulo - SP",100,--,1,1,3512,,,Zona Leste,Móoca,"[""Acesso para deficientes"",""Entrada para caminhões"",""Estacionamento"",""Portão eletrônico""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 9m² em Indianópolis, São Paulo","Avenida Ibirapuera, 3500 - Indianópolis, São Paulo - SP",9,--,3,--,950,480,,Zona Sul,Indianópolis,[],2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Kitnet com 1 Quarto para alugar, 22m² em Imirim, São Paulo","Rua Ararima, 143 - Imirim, São Paulo - SP",22,1,1,--,790,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 3 Quartos para alugar, 94m² em Vila Uberabinha, São Paulo","Rua Graúna, 134 - Vila Uberabinha, São Paulo - SP",94,3,3,1,2650,1150,,Zona Sul,Vila Uberabinha,"[""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Academia"",""Aceita animais"",""Espaço gourmet"",""Jardim"",""Salão de festas"",""Portaria 24h""]",2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2023-01-06,"Foto 1 de Sala Comercial para alugar, 65m² em Tatuapé, São Paulo","Avenida Celso Garcia, 3946/56 - Tatuapé, São Paulo - SP",65,--,2,--,1550,,,,,,2023-07-25-19:39:52
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 101m² em Santo Amaro, São Paulo","Avenida Adolfo Pinheiro, 1850 - Santo Amaro, São Paulo - SP",101,2,2,1,2300,,,,,,2023-07-25-19:40:04
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 50m² em Chácara Santo Antônio, São Paulo","Rua Henri Dunant, 1066 - Chácara Santo Antônio, São Paulo - SP",50,1,1,1,4200,,,,,,2023-07-25-19:40:04
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 45m² em Chácara Santa Maria, São Paulo","Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",45,2,1,1,900,,,Zona Sul,Chácara Santa Maria,"[""Varanda"",""Armário na cozinha"",""Cozinha americana"",""Cozinha grande"",""Sala grande"",""Janela de alumínio"",""Ventilação natural""]",2023-07-25-19:40:04
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Ponto Comercial para alugar, 30m² em Bela Vista, São Paulo","Avenida Paulista, 2001 - Bela Vista, São Paulo - SP",30,--,1,--,530,,,,,,2023-07-25-19:40:04
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Apartamento com 1 Quarto para alugar, 30m² em Vila Guilhermina, São Paulo","Rua Nova Aurora, 164 - Vila Guilhermina, São Paulo - SP",30,1,1,--,1350,,,,,,2023-07-25-19:40:04
https://web.archive.org/web/20230106/https://www.vivareal.com.br/aluguel/sp/sao-paulo/?pagina=2,2023-01-06,"Foto 1 de Apartamento com 2 Quartos para alugar, 58m² em Bom Retiro, São Paulo","Rua Newton Prado - Bom Retiro, São Paulo - SP",58,2,1,1,1900,,,,,,2023-07-25-19:40:04
