link,date,title,address,area,rooms,suite,bathrooms,garage,price,condo,zone,district,characteristics,createdAt
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos à venda, 123m²","Rua Pamplona, 538 - Jardim Paulista, São Paulo - SP",123,3,1,2,1,1590000,1460,Zona Sul,Jardim Paulista,"[""TV a cabo"",""Cozinha"",""Vista exterior""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,We Liberdade,"Rua da Glória - Liberdade, São Paulo - SP",50-73,1-3,,2,1,519000,,,Viva Real,[],2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos à venda, 101m²","Rua Capitão Pinto Ferreira, 95 - Jardim Paulista, São Paulo - SP",101,2,2,3,1,1190000,1100,Zona Sul,Jardim Paulista,"[""Churrasqueira"",""Salão de festas"",""Cozinha"",""Playground"",""Próximo a shopping""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos à venda, 156m²","Rua França, 699 - Jardim Paulista, São Paulo - SP",156,3,3,4,2,2190000,2200,Zona Sul,Jardim Paulista,"[""Cozinha"",""TV a cabo"",""Ar-condicionado"",""Próximo a shopping"",""Próximo a transporte público""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos à venda, 94m²","Alameda Campinas, 701 - Jardim Paulista, São Paulo - SP",94,2,2,2,2,1549000,1617,Zona Sul,Jardim Paulista,"[""Próximo a shopping"",""Cozinha"",""Vista exterior""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos à venda, 100m²","Alameda Franca, 114 - Jardim Paulista, São Paulo - SP",100,3,1,2,1,1220000,1100,Zona Sul,Jardim Paulista,"[""Ar-condicionado"",""TV a cabo"",""Cozinha"",""Lavanderia""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos à venda, 80m²","Avenida Celso Garcia, 3200 - Tatuapé, São Paulo - SP",80,2,2,3,2,545000,520,Zona Leste,Tatuapé,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Varanda"",""Mobiliado"",""Garagem"",""Cozinha"",""Área de serviço"",""Vista exterior"",""Condomínio fechado"",""Churrasqueira"",""Elevador"",""Espaço gourmet"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Salão de jogos"",""Salão de jogos"",""Sauna""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos à venda, 66m²","Rua São Jorge, 125 - Parque São Jorge, São Paulo - SP",66,2,1,2,2,499000,600,Zona Leste,Parque São Jorge,"[""Perto de vias de acesso"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Próximo a shopping"",""Varanda"",""Mobiliado"",""Cabeamento estruturado"",""Garagem"",""Cozinha"",""Área de serviço"",""Vista exterior"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Vigia"",""Circuito de segurança"",""Sistema de alarme"",""Churrasqueira"",""Elevador"",""Jardim"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Piscina para adulto"",""Piscina infantil"",""Recepção""]",2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,Esquina Pauliceia,"Rua Francisca Miquelina - Centro, São Paulo - SP",28-31,1,,1,--,,,,Viva Real,[],2023-07-24-22:18:07
https://web.archive.org/web/20190103/https://www.vivareal.com.br/venda/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos à venda, 92m²","Rua Bento Branco de Andrade Filho, 495 - Chácara Santo Antônio, São Paulo - SP",92,3,1,2,2,670000,,Zona Sul,Chácara Santo Antônio,[],2023-07-24-22:18:07
