District;Year;Score;Rank
Água Rasa;2018;54.6875;26
Alto de Pinheiros;2018;61;17
Anhangüera;2018;47.15625;50
Aricanduva;2018;49.6875;40
Artur Alvim;2018;41.53125;68
Barra Funda;2018;66.96875;9
Bela Vista;2018;67.75;8
Belém;2018;59.0625;20
Bom Retiro;2018;48.96875;42
Brás;2018;44.5;56
Brasilândia;2018;33.28125;88
Butantã;2018;63.9375;12
Cachoeirinha;2018;41.1875;71
Cambuci;2018;57.46875;22
Campo Belo;2018;47.65625;47
Campo Grande;2018;56.0625;23
Campo Limpo;2018;41.34375;70
Cangaíba;2018;44.21875;59
Capão Redondo;2018;30.4375;93
Carrão;2018;49.78125;38
Casa Verde;2018;55.25;25
Cidade Ademar;2018;27.5;95
Cidade Dutra;2018;43.8125;61
Cidade Líder;2018;45.28125;54
Cidade Tiradentes;2018;44.3125;57
Consolação;2018;78.21875;1
Cursino;2018;46.84375;51
Ermelino Matarazzo;2018;43.375;63
Freguesia do Ó;2018;51.3125;35
Grajaú;2018;29.5;94
Guaianases;2018;33.71875;87
Iguatemi;2018;37.28125;81
Ipiranga;2018;55.3125;24
Itaim Bibi;2018;61.78125;15
Itaim Paulista;2018;43.71875;62
Itaquera;2018;45.1875;55
Jabaquara;2018;45.75;52
Jaçanã;2018;32.53125;91
Jaguara;2018;52.125;32
Jaguaré;2018;51.5;33
Jaraguá;2018;39.78125;74
Jardim Ângela;2018;26.75;96
Jardim Helena;2018;39.4375;75
Jardim Paulista;2018;75.40625;2
Jardim São Luís;2018;37.375;80
José Bonifácio;2018;48.8125;43
Lajeado;2018;35.34375;85
Lapa;2018;70.46875;5
Liberdade;2018;60.875;18
Limão;2018;41.0625;72
Mandaqui;2018;50.4375;36
Marsilac;2018;32.71875;90
Moema;2018;71.0625;4
Moóca;2018;63.03125;13
Morumbi;2018;49.65625;41
Parelheiros;2018;34.4375;86
Pari;2018;48.25;45
Parque do Carmo;2018;36.125;82
Pedreira;2018;33.09375;89
Penha;2018;53.75;29
Perdizes;2018;70.0625;6
Perus;2018;32;92
Pinheiros;2018;68.96875;7
Pirituba;2018;47.34375;48
Ponte Rasa;2018;48;46
Raposo Tavares;2018;42.375;65
República;2018;59.59375;19
Rio Pequeno;2018;41.53125;68
Sacomã;2018;45.3125;53
Santa Cecília;2018;64.3125;11
Santana;2018;54.6875;26
Santo Amaro;2018;64.65625;10
São Domingos;2018;51.40625;34
São Lucas;2018;50.3125;37
São Mateus;2018;37.46875;79
São Miguel;2018;43.375;63
São Rafael;2018;40;73
Sapopemba;2018;37.75;76
Saúde;2018;53.75;29
Sé;2018;57.75;21
Socorro;2018;48.5625;44
Tatuapé;2018;62.71875;14
Tremembé;2018;37.6875;77
Tucuruvi;2018;54.40625;28
Vila Andrade;2018;37.625;78
Vila Curuçá;2018;42.09375;67
Vila Formosa;2018;52.15625;31
Vila Guilherme;2018;61.25;16
Vila Jacuí;2018;35.5;84
Vila Leopoldina;2018;47.3125;49
Vila Maria;2018;35.71875;83
Vila Mariana;2018;71.21875;3
Vila Matilde;2018;49.71875;39
Vila Medeiros;2018;43.96875;60
Vila Prudente;2018;42.25;66
Vila Sônia;2018;44.28125;58
Água Rasa;2019;53.375;26
Alto de Pinheiros;2019;59.86666667;13
Anhangüera;2019;46.125;55
Aricanduva;2019;51.8125;31
Artur Alvim;2019;43.625;69
Barra Funda;2019;71.40625;1
Bela Vista;2019;66.15625;4
Belém;2019;59.53125;14
Bom Retiro;2019;46.1;57
Brás;2019;45.375;62
Brasilândia;2019;33.46875;93
Butantã;2019;62.375;12
Cachoeirinha;2019;42.1875;71
Cambuci;2019;50.21875;34
Campo Belo;2019;39.46875;79
Campo Grande;2019;50.125;35
Campo Limpo;2019;45;64
Cangaíba;2019;45.875;58
Capão Redondo;2019;35.0625;91
Carrão;2019;49.09375;43
Casa Verde;2019;47.125;49
Cidade Ademar;2019;32.4375;94
Cidade Dutra;2019;45.03125;63
Cidade Líder;2019;44.90625;66
Cidade Tiradentes;2019;49.59375;39
Consolação;2019;65.625;7
Cursino;2019;55.1875;22
Ermelino Matarazzo;2019;48.875;44
Freguesia do Ó;2019;49.875;37
Grajaú;2019;35.4375;88
Guaianases;2019;36.875;85
Iguatemi;2019;36.90625;84
Ipiranga;2019;56.5;18
Itaim Bibi;2019;62.5;11
Itaim Paulista;2019;44.28125;67
Itaquera;2019;45.875;58
Jabaquara;2019;49.46875;40
Jaçanã;2019;35.375;89
Jaguara;2019;50.6875;33
Jaguaré;2019;48.6875;46
Jaraguá;2019;41.84375;72
Jardim Ângela;2019;37.03125;83
Jardim Helena;2019;42.875;70
Jardim Paulista;2019;65.76666667;6
Jardim São Luís;2019;45.625;61
José Bonifácio;2019;47.4375;48
Lajeado;2019;40.375;75
Lapa;2019;65.28125;8
Liberdade;2019;57.8;15
Limão;2019;37.78125;81
Mandaqui;2019;51.625;32
Marsilac;2019;36.59375;86
Moema;2019;71.21875;2
Moóca;2019;54.5;24
Morumbi;2019;49.40625;41
Parelheiros;2019;26.875;96
Pari;2019;50.09375;36
Parque do Carmo;2019;36.28125;87
Pedreira;2019;37.9375;80
Penha;2019;53.53125;25
Perdizes;2019;64.21875;9
Perus;2019;29.4375;95
Pinheiros;2019;65.8125;5
Pirituba;2019;46.5;52
Ponte Rasa;2019;46.28125;54
Raposo Tavares;2019;37.78125;81
República;2019;56.1;20
Rio Pequeno;2019;40.75;73
Sacomã;2019;52.46875;29
Santa Cecília;2019;63.1875;10
Santana;2019;48.84375;45
Santo Amaro;2019;57.625;16
São Domingos;2019;52.5625;28
São Lucas;2019;46.125;55
São Mateus;2019;39.59375;77
São Miguel;2019;48.125;47
São Rafael;2019;34.5625;92
Sapopemba;2019;46.71875;51
Saúde;2019;53.21875;27
Sé;2019;56.84375;17
Socorro;2019;44.9375;65
Tatuapé;2019;55.96875;21
Tremembé;2019;40.71875;74
Tucuruvi;2019;52.40625;30
