link,date,title,address,area,rooms,suite,bathrooms,garage,price,condo,zone,district,characteristics,createdAt
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 3 Quartos para Venda/Aluguel, 135m²","Rua Francisco Soler, 79 - Jardim São Ricardo, São Paulo - SP",135,3,,3,3,2000,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 2 Quartos para Aluguel, 80m²","Rua Embaixadora Dora de Vasconcelos, 403 - Jardim Martini, São Paulo - SP",80,2,0,1,0,950,,Zona Sul,Jardim Martini,"[""Perto de vias de acesso"",""Perto de shopping center"",""Cozinha"",""Área de serviço""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos para Venda/Aluguel, 65m²","Rua Carlos Alberto Vanzolini, 445 - Vila Dos Remedios, São Paulo - SP",65,3,0,1,1,1000,580,Zona Oeste,Vila Dos Remedios,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Jardim"",""Elevador"",""Salão de festas"",""Academia"",""Piscina"",""Sauna"",""Segurança 24h"",""Interfone""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Domingos de Morais, 1280 - Vila Mariana, São Paulo - SP",100,3,,2,1,2200,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Kitnet com  Quarto para Aluguel, 37m²","Rua Índio Peri, 54 - Jardim Peri, São Paulo - SP",37,1,0,1,0,500,,Zona Norte,Jardim Peri,[],2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com  Quarto para Aluguel, 50m²","9 de Julho, 1510 - Bela Vista, São Paulo - SP",50,1,0,1,1,1300,440,,VivaReal,"[""Perto de vias de acesso"",""Perto de shopping center"",""Próximo a hospitais"",""Garagem"",""Lavanderia"",""Cozinha""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 3 Quartos para Venda/Aluguel, 159m²","Rua Poema dos Olhos - Jardim Arpoardor, São Paulo - SP",159,3,,3,2,1800,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos para Aluguel, 47m²","Rua Ibitirama, 1820 - Vila Prudente, São Paulo - SP",47,2,0,1,1,1200,400,Zona Leste,Vila Prudente,"[""Sistema de alarme"",""Condomínio fechado"",""Elevador"",""Perto de shopping center"",""Salão de festas"",""Sacada"",""Interfone"",""Perto de vias de acesso"",""Quadra poliesportiva"",""Segurança 24h"",""Playground"",""Churrasqueira"",""Academia""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com  Quarto para Aluguel, 50m²","Rua do Céu, 80 - Vila do Encontro, São Paulo - SP",50,1,,1,1,990,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 3 Quartos para Aluguel, 90m²","Rua Marcílio de Sá, 270 - Jardim das Vertentes, São Paulo - SP",90,3,0,2,2,1850,,Zona Oeste,Jardim das Vertentes,[],2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 2 Quartos para Aluguel, 50m²","Rua Amaro Antônio de Araújo, 210 - Jardim Santa Margarida, São Paulo - SP",50,2,0,1,0,950,,Zona Sul,Jardim Santa Margarida,"[""Perto de vias de acesso"",""Perto de escola"",""Próximo a hospitais""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Sala Comercial com  Quarto para Aluguel, 34m²","Rua dos Andradas, 421 - Jardim Santa Efigenia, São Paulo - SP",34,1,0,1,0,400,511,Zona Sul,Jardim Santa Efigenia,"[""Perto de vias de acesso"",""Elevador"",""Interfone""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos para Aluguel, 48m²","Rua Rui de Morais Apocalipse, 312 - Jardim Do Tiro, São Paulo - SP",48,2,0,1,1,800,360,Zona Norte,Jardim Do Tiro,"[""Segurança 24h"",""Condomínio fechado"",""Quadra poliesportiva"",""Elevador"",""Playground"",""Interfone"",""Academia"",""Salão de festas"",""Perto de vias de acesso""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Flat com  Quarto para Aluguel, 38m²","Rua Doutor João Clímaco Pereira, 65 - Vila Olímpia, São Paulo - SP",38,1,,1,1,2000,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos para Aluguel, 66m²","Rua Celso Ramos, 280 - Vila Andrade, São Paulo - SP",66,3,,2,2,1300,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Kitnet com  Quarto para Aluguel, 40m²","Rua Fagundes, 122 - Liberdade, São Paulo - SP",40,1,0,1,1,1200,356,,VivaReal,"[""Elevador"",""Perto de shopping center"",""Interfone"",""Segurança 24h"",""Jardim"",""Perto de vias de acesso""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Casa com 2 Quartos para Aluguel, 70m²","Avenida Melchert, 1224 - Vila Matilde, São Paulo - SP",70,2,0,1,1,1200,,Zona Leste,Vila Matilde,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Garagem"",""Área de serviço"",""Cozinha""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Kitnet com  Quarto para Aluguel, 30m²","Avenida Corifeu de Azevedo Marques, 1284 - Butantã, São Paulo - SP",30,1,,1,0,1100,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos para Aluguel, 85m²","Rua Nilo, 317 - Aclimação, São Paulo - SP",85,2,0,2,1,1900,644,,VivaReal,"[""Perto de vias de acesso"",""Jardim"",""Segurança 24h"",""Perto de shopping center"",""Interfone"",""Salão de festas"",""Elevador""]",2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Flat com  Quarto para Aluguel, 35m²","Alameda Campinas, 675 - Jardim Paulista, São Paulo - SP",35,1,,1,1,1120,,,,,2023-07-25-21:53:34
https://web.archive.org/web/20180105/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2018-01-05,"Sobrado com 3 Quartos para Aluguel, 150m²","Rua Raul dos Santos Machado, 10 - Jardim Paris, São Paulo - SP",150,3,0,2,2,1700,,Zona Sul,Jardim Paris,"[""Quintal"",""Sacada"",""Cozinha"",""Garagem"",""Perto de shopping center"",""Área de serviço"",""Depósito"",""Churrasqueira"",""Mobiliado""]",2023-07-25-21:53:34
