link,date,title,address,area,rooms,suite,bathrooms,garage,price,condo,zone,district,characteristics,createdAt
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos à Venda, 65m²","Avenida Celso Garcia, 1800 - Belém, São Paulo - SP",65,3,1,2,1,239000,300,Zona Leste,Belém,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""TV a cabo"",""Conexão à internet"",""Garagem"",""Lavanderia"",""Cozinha"",""Área de serviço"",""Vista exterior"",""Sistema de alarme"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Circuito de segurança"",""Vigia"",""Churrasqueira"",""Elevador"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Piscina adulta"",""Piscina infantil"",""Salão de jogos"",""Salão de jogos juvenil"",""Recepção""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,Timelife,"Avenida Marquês de São Vicente - Jardim das Perdizes, São Paulo - SP",57-83,2,,0,0,614179,,Zona Oeste,Jardim das Perdizes,[],2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Casa com 3 Quartos para Venda/Aluguel, 135m²","Rua Francisco Soler, 79 - Jardim São Ricardo, São Paulo - SP",135,3,1,3,3,800000,,Zona Oeste,Jardim São Ricardo,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Vista exterior"",""Área de serviço"",""Cozinha"",""Garagem"",""Conexão à internet"",""TV a cabo"",""Cabeamento completo"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Circuito de segurança"",""Vigia"",""Quintal"",""Depósito"",""Churrasqueira""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos à Venda, 40m²","Rua da Independência, 10 - Cambuci, São Paulo - SP",40,2,0,1,1,199000,220,Zona Sul,Cambuci,"[""Perto de vias de acesso"",""Quadra poliesportiva"",""Interfone"",""Playground"",""Condomínio fechado"",""Churrasqueira"",""Salão de festas"",""Espaço gourmet"",""Sacada"",""Elevador"",""Academia"",""Segurança 24h"",""Piscina"",""Sistema de alarme"",""Perto de shopping center"",""Jardim"",""Próximo a hospitais"",""Perto de escola"",""Circuito de segurança"",""Vigia"",""Vista exterior"",""Cozinha"",""Lavanderia"",""Garagem"",""Home cinema"",""Espaço verde / Parque"",""Piscina adulta"",""Piscina infantil"",""Salão de jogos"",""Salão de jogos juvenil""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos para Venda/Aluguel, 65m²","Rua Carlos Alberto Vanzolini, 445 - Vila Dos Remedios, São Paulo - SP",65,3,0,1,1,310000,580,Zona Oeste,Vila Dos Remedios,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Jardim"",""Elevador"",""Salão de festas"",""Academia"",""Piscina"",""Sauna"",""Segurança 24h"",""Interfone""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 3 Quartos para Venda/Aluguel, 70m²","Rua Conrado Mazzeo, 292 - Jardim Luisa, São Paulo - SP",70,3,1,2,1,310000,344,Zona Oeste,Jardim Luisa,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Sacada"",""Garagem"",""Cozinha"",""Área de serviço"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Churrasqueira"",""Elevador"",""Espaço gourmet"",""Playground"",""Salão de festas"",""Academia"",""Espaço verde / Parque"",""Salão de jogos"",""Salão de jogos juvenil""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Casa de Condomínio com 2 Quartos à Venda, 60m²","Rua Antônio Gomes Correa, 001 - Jardim Catanduva, São Paulo - SP",60,2,0,1,1,240000,260,Zona Sul,Jardim Catanduva,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Sistema de alarme"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Circuito de segurança""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Casa com 3 Quartos para Venda/Aluguel, 159m²","Rua Poema dos Olhos - Jardim Arpoardor, São Paulo - SP",159,3,2,3,2,380000,,Zona Oeste,Jardim Arpoardor,"[""Perto de vias de acesso"",""Sacada"",""Quintal"",""Garagem"",""Lavanderia"",""Cozinha""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,Office Time,"Avenida Marquês de São Vicente - Jardim das Perdizes, São Paulo - SP",44-74,0,,0,0,704378,,Zona Oeste,Jardim das Perdizes,[],2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos à Venda, 87m²","Rua da Consolação, 986 - Consolação, São Paulo - SP",87,2,0,1,1,600000,1300,,VivaReal,"[""Perto de vias de acesso"",""Perto de escola"",""Próximo a hospitais"",""Elevador"",""Garagem"",""Conexão à internet"",""TV a cabo"",""Área de serviço"",""Cozinha"",""Sistema de alarme"",""Condomínio fechado"",""Interfone""]",2023-07-24-22:16:35
https://web.archive.org/web/20180105/https://www.vivareal.com.br/venda/sp/sao-paulo/,2018-01-05,"Apartamento com 2 Quartos à Venda, 40m²","Rua Alexandrino da Silveira Bueno, 369 - Cambuci, São Paulo - SP",40,2,0,1,1,184000,,Zona Sul,Cambuci,"[""Perto de vias de acesso"",""Perto de shopping center"",""Perto de escola"",""Próximo a hospitais"",""Churrasqueira"",""Elevador"",""Jardim"",""Espaço gourmet"",""Academia"",""Salão de festas"",""Playground"",""Quadra poliesportiva"",""Espaço verde / Parque"",""Salão de jogos"",""Salão de jogos juvenil"",""Garagem"",""Segurança 24h"",""Área de serviço"",""Cozinha""]",2023-07-24-22:16:35
