link,date,title,address,area,rooms,bathrooms,garage,price,condo,suite,zone,district,characteristics,createdAt
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos à venda, 64m² em Cidade Ademar, São Paulo","Avenida Cupecê, 1708 - Cidade Ademar, São Paulo - SP",64,2,2,1,490000,500,1,Zona Sul,Cidade Ademar,"[""Piscina"",""Mobiliado"",""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Academia"",""Aceita animais"",""Jardim"",""Playground"",""Salão de festas"",""Quadra poliesportiva"",""Bicicletário"",""Portaria 24h"",""Armário embutido"",""Chuveiro a gás"",""Cozinha americana"",""Ambientes integrados"",""Acesso para deficientes"",""Portão eletrônico"",""Câmera de segurança""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de BELLA VISTA PAULICEIA em Bela Vista, São Paulo","Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP",28,1,1,--,315000,,1,Bela Vista,Rua Francisca Miquelina,[],2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 4 Quartos à venda, 240m² em Jardim Paulista, São Paulo","Rua Caconde, 261 - Jardim Paulista, São Paulo - SP",240,4,4,2,2560000,2844,3,Zona Sul,Jardim Paulista,"[""Elevador"",""Aceita animais"",""Ar-condicionado"",""Bicicletário"",""Closet"",""Portão eletrônico""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 4 Quartos à venda, 401m² em Vila Suzana, São Paulo","Avenida José Galante, 512 - Vila Suzana, São Paulo - SP",401,4,6,5,3800000,5359,4,Zona Oeste,Vila Suzana,"[""Piscina"",""Mobiliado"",""Churrasqueira"",""Elevador"",""Academia"",""Aceita animais"",""Espaço gourmet"",""Ar-condicionado"",""Quadra de tênis"",""Portaria 24h""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos à venda, 47m² em Itaim Paulista, São Paulo","Rua Lagoa das Capivaras, 50 - Itaim Paulista, São Paulo - SP",47,2,1,1,199900,259,,Zona Leste,Itaim Paulista,"[""Piscina"",""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Jardim"",""Playground"",""Salão de festas"",""Quadra poliesportiva"",""Portaria 24h"",""Portão eletrônico"",""Acesso para deficientes""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos à venda, 58m² em Jardim Ibitirama, São Paulo","Avenida Doutor Francisco Mesquita, 550 - Jardim Ibitirama, São Paulo - SP",58,2,2,1,350000,350,1,Zona Leste,Jardim Ibitirama,"[""Mobiliado"",""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Aceita animais"",""Espaço gourmet"",""Jardim"",""Playground"",""Salão de festas"",""Quadra poliesportiva"",""Bicicletário"",""Portaria 24h"",""Salão de jogos"",""Acesso para deficientes"",""Portão eletrônico""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos à venda, 76m² em Bela Vista, São Paulo","Rua Avanhandava, 281 - Bela Vista, São Paulo - SP",76,2,2,--,470000,630,1,Centro,Bela Vista,"[""Aceita animais"",""Mobiliado"",""Acesso para deficientes"",""Elevador"",""Portão eletrônico""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 2 Quartos à venda, 80m² em Tatuapé, São Paulo","Rua Vilela, 915 - Tatuapé, São Paulo - SP",80,2,2,1,1150000,650,2,Zona Leste,Tatuapé,"[""Piscina"",""Mobiliado"",""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Academia"",""Aceita animais"",""Espaço gourmet"",""Ar-condicionado"",""Jardim"",""Varanda gourmet"",""Piscina aquecida"",""Piscina coberta"",""Salão de festas"",""Quadra poliesportiva"",""Portaria 24h"",""Cozinha americana"",""Salão de jogos"",""Spa"",""Sauna"",""Portão eletrônico""]",2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Esquina Pauliceia - 35m² em Bela Vista, São Paulo","Rua Francisca Miquelina, 237 - Bela Vista, São Paulo - SP",35,1,1,2,,,,Bela Vista,Rua Francisca Miquelina,[],2023-07-24-21:24:50
https://web.archive.org/web/20230106/https://www.vivareal.com.br/venda/sp/sao-paulo/,2023-01-06,"Foto 1 de Apartamento com 3 Quartos à venda, 160m² em Santana, São Paulo","Rua Cesar Zama, 326 - Santana, São Paulo - SP",160,3,3,2,898000,,1,Zona Norte,Santana,"[""Churrasqueira"",""Elevador"",""Condomínio fechado"",""Academia"",""Aceita animais"",""Ar-condicionado"",""Jardim"",""Salão de festas"",""Portaria 24h"",""Closet"",""Portão eletrônico""]",2023-07-24-21:24:50
